signature_id,time_window,analysis_set,dataset,analysis_role,overlap_status,paired_n,cohort_mean_delta_z,bootstrap_se,sampling_variance,tau2,random_weight_unscaled,random_weight_percent,weighted_contribution_to_mu,input_source
SIG003,T48,PRIMARY_INDEPENDENT,GSE8121,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,30,-1.2358170531118964,0.446980436954408,0.1997915110199535,0.0007519859944623325,4.98644939819772,5.7961824114521345,-0.07163021067019783,03_04_cohort_signature_primary_effects.csv
SIG003,T48,PRIMARY_INDEPENDENT,GSE95233,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,31,-1.2010246142984091,0.2491232385373213,0.062062387979323085,0.0007519859944623325,15.91992304846235,18.505106659363737,-0.22225088588113254,03_04_cohort_signature_primary_effects.csv
SIG004,T24,PRIMARY_INDEPENDENT,GSE236713,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,93,0.1206989910054785,0.0825622278368179,0.006816521465378628,0.008697765705126538,64.4567158651762,60.526727151077395,0.07305514895998942,03_04_cohort_signature_primary_effects.csv
SIG004,T24,PRIMARY_INDEPENDENT,GSE57065,PILOT,NO_KNOWN_OVERLAP,28,-0.035234788042465,0.1730150111174749,0.029934194071979957,0.008697765705126538,25.885303406031326,24.30705125834958,-0.008564537990252795,03_04_cohort_signature_primary_effects.csv
SIG004,T24,PRIMARY_INDEPENDENT,GSE95233,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,20,-0.2474392159916907,0.2306903834245049,0.05321805300454509,0.008697765705126538,16.15096143182863,15.16622159057302,-0.0375271797992764,03_04_cohort_signature_primary_effects.csv
SIG004,T48,PRIMARY_INDEPENDENT,GSE110487,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,31,0.9322148605921704,0.1347933195224405,0.01816923898787874,0.025602040455215077,22.8460308385566,39.13366500194094,0.3648098406424507,03_04_cohort_signature_primary_effects.csv
SIG004,T48,PRIMARY_INDEPENDENT,GSE57065,PILOT,NO_KNOWN_OVERLAP,26,0.471909460571298,0.2135190139186239,0.04559036930478151,0.025602040455215077,14.046441233991008,24.060578820228145,0.11354414772087061,03_04_cohort_signature_primary_effects.csv
SIG004,T48,PRIMARY_INDEPENDENT,GSE8121,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,30,0.5171729426030627,0.2796796672589528,0.07822071627807857,0.025602040455215077,9.631799727384067,16.4986043554272,0.08532631763339991,03_04_cohort_signature_primary_effects.csv
SIG004,T48,PRIMARY_INDEPENDENT,GSE95233,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,31,0.6577234055200887,0.2423820520745184,0.05874905916785455,0.025602040455215077,11.855210002816666,20.30715182240374,0.13356489053044862,03_04_cohort_signature_primary_effects.csv
SIG022,T24,PRIMARY_INDEPENDENT,GSE236713,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,93,0.0075607344559361,0.0634219191217507,0.004022339825085887,0.010086705832219073,70.87651598052983,38.896293931133435,0.0029408454973333877,03_04_cohort_signature_primary_effects.csv
SIG022,T24,PRIMARY_INDEPENDENT,GSE54514,PILOT,NO_KNOWN_OVERLAP,31,0.1658406424649951,0.1669191965291797,0.027862018169946913,0.010086705832219073,26.35134714787573,14.461344917499527,0.023982787320260133,03_04_cohort_signature_primary_effects.csv
SIG022,T24,PRIMARY_INDEPENDENT,GSE57065,PILOT,NO_KNOWN_OVERLAP,28,-0.0981175966044513,0.1040341675652627,0.010823108020997157,0.010086705832219073,47.82443339858741,26.245551052091443,-0.025751503907906405,03_04_cohort_signature_primary_effects.csv
SIG022,T24,PRIMARY_INDEPENDENT,GSE95233,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,20,-0.2844166683801482,0.1296879010739748,0.016818951684973073,0.010086705832219073,37.16690437173004,20.39681009927561,-0.05801192774018528,03_04_cohort_signature_primary_effects.csv
SIG022,T48,PRIMARY_INDEPENDENT,GSE110487,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,31,0.5634089336759799,0.1048219701076879,0.010987645417257016,0.05876218914527759,14.336951568013319,21.869048454281575,0.12321217270135118,03_04_cohort_signature_primary_effects.csv
SIG022,T48,PRIMARY_INDEPENDENT,GSE54514,PILOT,NO_KNOWN_OVERLAP,28,0.0140993846841852,0.1819635544546278,0.0331107351497623,0.05876218914527759,10.884599654067927,16.6029602674631,0.0023409152370720467,03_04_cohort_signature_primary_effects.csv
SIG022,T48,PRIMARY_INDEPENDENT,GSE57065,PILOT,NO_KNOWN_OVERLAP,26,0.0634927785039041,0.1333873615174383,0.017792188212583777,0.05876218914527759,13.06261032371012,19.925216093074965,0.012651073320400342,03_04_cohort_signature_primary_effects.csv
SIG022,T48,PRIMARY_INDEPENDENT,GSE8121,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,30,-0.1072981125625187,0.1052621647126219,0.011080123319987142,0.05876218914527759,14.317968072682852,21.84009174216295,-0.023434006221263355,03_04_cohort_signature_primary_effects.csv
SIG022,T48,PRIMARY_INDEPENDENT,GSE95233,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,31,0.1227105716669462,0.1357268883798253,0.018421788229269556,0.05876218914527759,12.95605686588741,19.762683443017405,0.024250901829655586,03_04_cohort_signature_primary_effects.csv
SIG023,T24,PRIMARY_INDEPENDENT,GSE236713,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,93,-0.0560102237616977,0.0474882060630873,0.002255129715090241,0.10263272663105297,9.533992159205479,28.34708793799917,-0.015877267383998556,03_04_cohort_signature_primary_effects.csv
SIG023,T24,PRIMARY_INDEPENDENT,GSE54514,PILOT,NO_KNOWN_OVERLAP,31,-0.4620175596485778,0.1906206122753019,0.036336217824210974,0.10263272663105297,7.195852310167859,21.395177887599786,-0.09884947875876068,03_04_cohort_signature_primary_effects.csv
SIG023,T24,PRIMARY_INDEPENDENT,GSE57065,PILOT,NO_KNOWN_OVERLAP,28,0.3130319198435592,0.1117360715290034,0.012484949680734565,0.10263272663105297,8.686763249907647,25.828051631440875,0.08085004588008508,03_04_cohort_signature_primary_effects.csv
SIG023,T24,PRIMARY_INDEPENDENT,GSE95233,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,20,0.3302774250683943,0.1381099262367278,0.019074351725114392,0.10263272663105297,8.216448981492835,24.429682542960162,0.08068572645527186,03_04_cohort_signature_primary_effects.csv
SIG023,T48,PRIMARY_INDEPENDENT,GSE110487,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,31,-0.2680006867992603,0.121792176505626,0.014833334257977558,0.015181132894961978,33.31726646701648,22.671771858581018,-0.06076050429055855,03_04_cohort_signature_primary_effects.csv
SIG023,T48,PRIMARY_INDEPENDENT,GSE54514,PILOT,NO_KNOWN_OVERLAP,28,-0.1478033316676605,0.2007034954741893,0.04028189309555793,0.015181132894961978,18.030029594326972,12.269095304403892,-0.018134131625389443,03_04_cohort_signature_primary_effects.csv
SIG023,T48,PRIMARY_INDEPENDENT,GSE57065,PILOT,NO_KNOWN_OVERLAP,26,0.1794535351383211,0.1397756927230891,0.01953724427621942,0.015181132894961978,28.803189592342687,19.60002762782254,0.03517294246621517,03_04_cohort_signature_primary_effects.csv
SIG023,T48,PRIMARY_INDEPENDENT,GSE8121,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,30,0.0492944757301608,0.1077094134434146,0.011601317744324421,0.015181132894961978,37.33788268550485,25.40772541367595,0.01252460503763039,03_04_cohort_signature_primary_effects.csv
SIG023,T48,PRIMARY_INDEPENDENT,GSE95233,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,31,-0.1067928438049204,0.1369516017060591,0.018755741209855053,0.015181132894961978,29.4664734563181,20.051379795516606,-0.021413438705757418,03_04_cohort_signature_primary_effects.csv
SIG033,T24,PRIMARY_INDEPENDENT,GSE236713,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,93,-0.1450315943704465,0.0772580913045146,0.0059688126720167135,0.0,167.5375078678964,61.5223761921202,-0.08922688308601591,03_04_cohort_signature_primary_effects.csv
SIG033,T24,PRIMARY_INDEPENDENT,GSE54514,PILOT,NO_KNOWN_OVERLAP,31,-0.526196626869978,0.2428280243661053,0.05896544941754582,0.0,16.959083834311265,6.2276391048558235,-0.032769626903387035,03_04_cohort_signature_primary_effects.csv
SIG033,T24,PRIMARY_INDEPENDENT,GSE57065,PILOT,NO_KNOWN_OVERLAP,28,-0.0716992414967681,0.125006823807427,0.015626705998421097,0.0,63.99301299333582,23.499228734783223,-0.016848768760430146,03_04_cohort_signature_primary_effects.csv
SIG033,T24,PRIMARY_INDEPENDENT,GSE95233,PRESPECIFIED_NON_PILOT,PRIOR_EXTERNAL_VALIDATION,20,-0.2670993762086468,0.2048508350076657,0.041963864603337876,0.0,23.83002636798276,8.750755968240767,-0.02337321460471202,03_04_cohort_signature_primary_effects.csv
SIG033,T48,PRIMARY_INDEPENDENT,GSE110487,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,31,0.1763836941232022,0.1757331795530729,0.030882150395832562,0.0041908623670109625,28.511950392223035,20.21172648796103,0.035650189825543424,03_04_cohort_signature_primary_effects.csv
SIG033,T48,PRIMARY_INDEPENDENT,GSE54514,PILOT,NO_KNOWN_OVERLAP,28,-0.3836645874501777,0.2232681073158063,0.04984864774438239,0.0041908623670109625,18.504979004041086,13.11792315678122,-0.05032882576149599,03_04_cohort_signature_primary_effects.csv
SIG033,T48,PRIMARY_INDEPENDENT,GSE57065,PILOT,NO_KNOWN_OVERLAP,26,-0.1577829228711527,0.1495695401481908,0.022371047340141257,0.0041908623670109625,37.64789546478784,26.688071335491397,-0.0421092190110766,03_04_cohort_signature_primary_effects.csv
SIG033,T48,PRIMARY_INDEPENDENT,GSE8121,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,30,-0.0743988863237241,0.1687813410091502,0.028487141072847052,0.0041908623670109625,30.601624785322105,21.693067704580667,-0.016139400781659475,03_04_cohort_signature_primary_effects.csv
SIG033,T48,PRIMARY_INDEPENDENT,GSE95233,PRESPECIFIED_NON_PILOT,PRIOR_EXTERNAL_VALIDATION,31,-0.2559883110643858,0.1859272328136769,0.03456893590175121,0.0041908623670109625,25.799927880582747,18.28921131518569,-0.046818243152740385,03_04_cohort_signature_primary_effects.csv
SIG034,T24,PRIMARY_INDEPENDENT,GSE236713,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,93,0.0388778610600894,0.0841487816139405,0.007081017447110651,0.0,141.2226431397993,56.10081591059446,0.02181079726329744,03_04_cohort_signature_primary_effects.csv
SIG034,T24,PRIMARY_INDEPENDENT,GSE54514,PILOT,NO_KNOWN_OVERLAP,31,-0.2207005629437101,0.2168352368613055,0.047017519944698466,0.0,21.268667534489058,8.448996389586364,-0.018646982594910846,03_04_cohort_signature_primary_effects.csv
SIG034,T24,PRIMARY_INDEPENDENT,GSE57065,PILOT,NO_KNOWN_OVERLAP,28,0.1295173739739981,0.1420767990641073,0.020185816832302722,0.0,49.53973417611378,19.679701820357064,0.02548863300363957,03_04_cohort_signature_primary_effects.csv
SIG034,T24,PRIMARY_INDEPENDENT,GSE95233,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,20,0.0096680441952529,0.1587120437187342,0.025189512821377397,0.0,39.699060759576795,15.770485879462115,0.0015246975446325153,03_04_cohort_signature_primary_effects.csv
SIG034,T48,PRIMARY_INDEPENDENT,GSE110487,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,31,-0.2165347398037959,0.1477930975229296,0.02184279967542218,0.008434308715006996,33.02825313120415,21.981830468767452,-0.04759829940965713,03_04_cohort_signature_primary_effects.csv
SIG034,T48,PRIMARY_INDEPENDENT,GSE54514,PILOT,NO_KNOWN_OVERLAP,28,0.0469647608142556,0.2429197333444228,0.059009996848125475,0.008434308715006996,14.827048653706306,9.868086833512047,0.004634523378301982,03_04_cohort_signature_primary_effects.csv
SIG034,T48,PRIMARY_INDEPENDENT,GSE57065,PILOT,NO_KNOWN_OVERLAP,26,0.1348986716024051,0.2068785015716599,0.04279871441253529,0.008434308715006996,19.518660796388012,12.990571765910893,0.017524108745770893,03_04_cohort_signature_primary_effects.csv
SIG034,T48,PRIMARY_INDEPENDENT,GSE8121,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,30,0.0609857380924509,0.1223807399394569,0.014977045508128983,0.008434308715006996,42.714316757112776,28.428353925173326,0.01733724146880119,03_04_cohort_signature_primary_effects.csv
SIG034,T48,PRIMARY_INDEPENDENT,GSE95233,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,31,-0.2321399427095033,0.1283100296422822,0.016463463706803336,0.008434308715006996,40.16423570182547,26.73115700663628,-0.062053692560792836,03_04_cohort_signature_primary_effects.csv
