dataset,time_window,signature_id,observed_n,missing_n,observed_mean,observed_sd,missing_mean,missing_sd,smd_observed_minus_missing,absolute_smd,descriptive_flag
GSE110487,T48,SIG001,31,0,2.1578090214517927,0.9214378307867159,,,,,Not estimable
GSE110487,T48,SIG002,31,0,9.10607964651225,1.9232183659602295,,,,,Not estimable
GSE110487,T48,SIG003,31,0,-0.4473668688611046,0.10609180075672907,,,,,Not estimable
GSE110487,T48,SIG004,31,0,0.05949744576752211,0.13172990451567876,,,,,Not estimable
GSE110487,T48,SIG022,31,0,-5.609769047832961,1.125961130083881,,,,,Not estimable
GSE110487,T48,SIG023,31,0,1.1476305125146473,2.500076337406253,,,,,Not estimable
GSE110487,T48,SIG033,31,0,-18.60171229052305,1.1145570099811541,,,,,Not estimable
GSE110487,T48,SIG034,31,0,1.2178928008015102,0.07636618578152968,,,,,Not estimable
GSE236713,T24,SIG001,93,31,0.5254764457408043,1.3016957216427367,0.5070341907533064,1.3251191632500747,0.014105034560482932,0.014105034560482932,|SMD| < 0.50
GSE236713,T24,SIG002,93,31,7.277102089952054,2.078519789111331,6.9691555188179,1.8415588480041234,0.15223581637849118,0.15223581637849118,|SMD| < 0.50
GSE236713,T24,SIG003,93,31,-0.9391622155292555,0.14742102007903382,-0.9170619260297572,0.15123011423680696,-0.14895715861566194,0.14895715861566194,|SMD| < 0.50
GSE236713,T24,SIG004,93,31,0.005171736719338264,0.14932345998717697,-0.004609469224920409,0.12822183186453104,0.0677271818861174,0.0677271818861174,|SMD| < 0.50
GSE236713,T24,SIG022,93,31,-5.181411784380347,1.5648648748146594,-4.933971598142715,1.479899825615241,-0.16021713298895865,0.16021713298895865,|SMD| < 0.50
GSE236713,T24,SIG023,93,31,2.470413425859204,2.619808029562749,2.0083625011929227,3.1759085553203565,0.166990096223395,0.166990096223395,|SMD| < 0.50
GSE236713,T24,SIG033,93,31,-21.386633578956502,1.4617311712969423,-21.618065849550014,1.513847122685132,0.15693330789753054,0.15693330789753054,|SMD| < 0.50
GSE236713,T24,SIG034,93,31,1.0676158590083729,0.09446269551376191,1.0441407344850566,0.1022403636397253,0.24343350759439028,0.24343350759439028,|SMD| < 0.50
GSE54514,T24,SIG001,31,4,2.1209466901785357,0.7706453558725413,1.7407563175480463,0.6658503205829632,0.49912448448839125,0.49912448448839125,|SMD| < 0.50
GSE54514,T24,SIG002,31,4,7.467512191048388,1.2351098470820319,6.2511028035,1.1548102501439534,0.9905397125373804,0.9905397125373804,|SMD| >= 0.50
GSE54514,T24,SIG003,31,4,-0.7962580453801213,0.1330043903958794,-0.8704622209453013,0.15896321885551407,0.5473501921158874,0.5473501921158874,|SMD| >= 0.50
GSE54514,T24,SIG004,31,4,-0.09150379830676299,0.0569009010540833,-0.06175398175941647,0.04619825335832657,-0.5311281509490325,0.5311281509490325,|SMD| >= 0.50
GSE54514,T24,SIG022,31,4,-1.3782673719929104,1.003799175683225,-0.3160914733605529,0.5183771922028451,-1.0952943272431719,1.0952943272431719,|SMD| >= 0.50
GSE54514,T24,SIG023,31,4,-0.3391545815483871,1.4983491720573225,-1.2065161473750003,1.4597979535606616,0.5802193603882947,0.5802193603882947,|SMD| >= 0.50
GSE54514,T24,SIG033,31,4,-15.449994291279616,0.7782986229991671,-14.9243505731644,0.9598225522323317,-0.6599318672706159,0.6599318672706159,|SMD| >= 0.50
GSE54514,T24,SIG034,31,4,1.1324471714592914,0.06544608536017257,1.147676640875075,0.05398531962888832,-0.23615821341715348,0.23615821341715348,|SMD| < 0.50
GSE54514,T48,SIG001,28,7,2.118805093002197,0.7718306741922636,1.912261437380753,0.745608440423903,0.2692421689447126,0.2692421689447126,|SMD| < 0.50
GSE54514,T48,SIG002,28,7,7.468072685517858,1.2559027852445872,6.7701791345714275,1.2710531109573464,0.5544686232043123,0.5544686232043123,|SMD| >= 0.50
GSE54514,T48,SIG003,28,7,-0.793759756238632,0.1338295247221873,-0.8486535879833247,0.14466452753173742,0.40403571326769905,0.40403571326769905,|SMD| < 0.50
GSE54514,T48,SIG004,28,7,-0.09370255090792753,0.058387073635496015,-0.06570889273219263,0.04130587535667639,-0.5028266273371014,0.5028266273371014,|SMD| >= 0.50
GSE54514,T48,SIG022,28,7,-1.2957850036005478,0.9941695451988636,-1.101239189201013,1.1643037775476979,-0.18939407681804457,0.18939407681804457,|SMD| < 0.50
GSE54514,T48,SIG023,28,7,-0.2797259685892857,1.4773272208027268,-1.0725042138571432,1.5255008112097004,0.5334255615320108,0.5334255615320108,|SMD| >= 0.50
GSE54514,T48,SIG033,28,7,-15.399184391960658,0.7927591216575891,-15.352866049632478,0.9068730745386538,-0.05685346833846887,0.05685346833846887,|SMD| < 0.50
GSE54514,T48,SIG034,28,7,1.1331118880395403,0.06775240305003252,1.138490859090173,0.0482323538487736,-0.08321012740838653,0.08321012740838653,|SMD| < 0.50
GSE57065,T24,SIG001,28,0,2.5806884276989277,0.672569246585108,,,,,Not estimable
GSE57065,T24,SIG002,28,0,8.47497267857143,1.1990403199621247,,,,,Not estimable
GSE57065,T24,SIG003,28,0,-0.5888262466209673,0.08105978090134602,,,,,Not estimable
GSE57065,T24,SIG004,28,0,-0.11382362071453148,0.06147246460411287,,,,,Not estimable
GSE57065,T24,SIG022,28,0,-3.295230208299986,0.7334821438482804,,,,,Not estimable
GSE57065,T24,SIG023,28,0,1.677335,2.6494023370347484,,,,,Not estimable
GSE57065,T24,SIG033,28,0,-14.882131361,1.0621461662962717,,,,,Not estimable
GSE57065,T24,SIG034,28,0,1.1967293713965572,0.08368516867377133,,,,,Not estimable
GSE57065,T48,SIG001,26,2,2.6046972109081237,0.6926340176581629,2.268574245979374,0.10034450887631888,0.49468507938349326,0.49468507938349326,|SMD| < 0.50
GSE57065,T48,SIG002,26,2,8.557064519230769,1.2049798755381809,7.40777875,0.2557410773186898,0.9717935357924214,0.9717935357924214,|SMD| >= 0.50
GSE57065,T48,SIG003,26,2,-0.5894177661058961,0.08368977918916715,-0.5811364933168912,0.04670907562811176,-0.10028879275116417,0.10028879275116417,|SMD| < 0.50
GSE57065,T48,SIG004,26,2,-0.11634277137195098,0.06311320957752214,-0.08107466216807818,0.011722079574073065,-0.5694808939212941,0.5694808939212941,|SMD| >= 0.50
GSE57065,T48,SIG022,26,2,-3.2554639464726614,0.7311584185920881,-3.8121916120552046,0.7651563476345007,0.7600427384467938,0.7600427384467938,|SMD| >= 0.50
GSE57065,T48,SIG023,26,2,1.5284838461538466,2.6919998709837665,3.6124,0.5342050310508129,-0.7888239764803651,0.7888239764803651,|SMD| >= 0.50
GSE57065,T48,SIG033,26,2,-14.86401114325,0.9956759744735164,-15.11769419175,2.357199222376388,0.23483652791335735,0.23483652791335735,|SMD| < 0.50
GSE57065,T48,SIG034,26,2,1.190949827200608,0.08218410631035347,1.2718634459438967,0.08984530224202299,-0.9808671378221564,0.9808671378221564,|SMD| >= 0.50
GSE8121,T48,SIG001,30,0,2.4076354833254716,1.4335128158762989,,,,,Not estimable
GSE8121,T48,SIG002,30,0,0.9054940223333338,1.349351867338112,,,,,Not estimable
GSE8121,T48,SIG003,30,0,-0.2454498751235522,0.19578438309018592,,,,,Not estimable
GSE8121,T48,SIG004,30,0,-0.20349111956249846,0.44240745934516523,,,,,Not estimable
GSE8121,T48,SIG022,30,0,0.008494442313294851,1.3766889995198703,,,,,Not estimable
GSE8121,T48,SIG023,30,0,1.0190469986666666,5.249569246187739,,,,,Not estimable
GSE8121,T48,SIG033,30,0,0.2161581770790666,4.881769694703989,,,,,Not estimable
GSE8121,T48,SIG034,30,0,4.1296153133538,2.386632351406753,,,,,Not estimable
GSE95233,T24,SIG001,20,31,2.465642724888194,0.6087266599906608,2.377295208996772,0.607279644526843,0.14534639057020757,0.14534639057020757,|SMD| < 0.50
GSE95233,T24,SIG002,20,31,9.887066680374998,1.1075543974112356,9.853855689758065,0.9227334421306408,0.03326195157285384,0.03326195157285384,|SMD| < 0.50
GSE95233,T24,SIG003,20,31,-0.5705941626968427,0.07535395736023114,-0.5854607221226129,0.07456882574302508,0.19855372249020511,0.19855372249020511,|SMD| < 0.50
GSE95233,T24,SIG004,20,31,-0.19536221711116547,0.05179362450292779,-0.18494676733832963,0.05289427311532625,-0.1985020734934348,0.1985020734934348,|SMD| < 0.50
GSE95233,T24,SIG022,20,31,-2.3528213729674357,0.4818552038106056,-2.350876161040245,0.5579778653517365,-0.003671867772685044,0.003671867772685044,|SMD| < 0.50
GSE95233,T24,SIG023,20,31,2.676120111,1.8046548399023277,3.72747796032258,2.544208370488183,-0.4599073622371671,0.4599073622371671,|SMD| < 0.50
GSE95233,T24,SIG033,20,31,-15.924215426931775,0.6815107250855359,-16.098067824461936,0.7156240024644517,0.24744395131424093,0.24744395131424093,|SMD| < 0.50
GSE95233,T24,SIG034,20,31,1.226145020585152,0.07094901046841454,1.1889646798724678,0.09139878817504096,0.44229724596619774,0.44229724596619774,|SMD| < 0.50
GSE95233,T48,SIG001,31,20,2.377295208996772,0.607279644526843,2.465642724888194,0.6087266599906608,-0.14534639057020757,0.14534639057020757,|SMD| < 0.50
GSE95233,T48,SIG002,31,20,9.853855689758065,0.9227334421306408,9.887066680374998,1.1075543974112356,-0.03326195157285384,0.03326195157285384,|SMD| < 0.50
GSE95233,T48,SIG003,31,20,-0.5854607221226129,0.07456882574302508,-0.5705941626968427,0.07535395736023114,-0.19855372249020511,0.19855372249020511,|SMD| < 0.50
GSE95233,T48,SIG004,31,20,-0.18494676733832963,0.05289427311532625,-0.19536221711116547,0.05179362450292779,0.1985020734934348,0.1985020734934348,|SMD| < 0.50
GSE95233,T48,SIG022,31,20,-2.350876161040245,0.5579778653517365,-2.3528213729674357,0.4818552038106056,0.003671867772685044,0.003671867772685044,|SMD| < 0.50
GSE95233,T48,SIG023,31,20,3.72747796032258,2.544208370488183,2.676120111,1.8046548399023277,0.4599073622371671,0.4599073622371671,|SMD| < 0.50
GSE95233,T48,SIG033,31,20,-16.098067824461936,0.7156240024644517,-15.924215426931775,0.6815107250855359,-0.24744395131424093,0.24744395131424093,|SMD| < 0.50
