signature_id,time_window,broad_lineage,net_pooled_contribution,absolute_pooled_contribution,gene_count,absolute_share
SIG001,T1,BROAD_OR_UNRESOLVED,-0.0507534319418645,0.0514708658237558,4,0.1353716262542021
SIG001,T1,B_LYMPHOCYTE,-0.0410589709897782,0.0410589709897782,1,0.1079876855820258
SIG001,T1,DENDRITIC,-0.0861928710249696,0.0861928710249696,3,0.2266926917864973
SIG001,T1,GRANULOCYTE,-0.1805200709932695,0.2014963029540779,3,0.5299479963772745
SIG001,T2,BROAD_OR_UNRESOLVED,-0.1386824815215957,0.1386824815215957,4,0.167521108874241
SIG001,T2,B_LYMPHOCYTE,-0.1404081285987586,0.1404081285987586,1,0.1696055993500399
SIG001,T2,DENDRITIC,-0.1414095465374414,0.1414095465374414,3,0.1708152592991127
SIG001,T2,GRANULOCYTE,-0.4073506285570117,0.4073506285570117,3,0.4920580324766063
SIG001,T3,BROAD_OR_UNRESOLVED,-0.1119887818885174,0.1119887818885174,4,0.2123889632860667
SIG001,T3,B_LYMPHOCYTE,-0.2710109157993551,0.2710109157993551,1,0.513977618786247
SIG001,T3,DENDRITIC,-0.0010878343411645,0.0942556395123676,3,0.1787577043192179
SIG001,T3,GRANULOCYTE,-0.0278841733691094,0.0500262133842866,3,0.0948757136084682
SIG001,T4,BROAD_OR_UNRESOLVED,-0.0869488871580777,0.0869488871580777,4,0.1107048704478648
SIG001,T4,B_LYMPHOCYTE,-0.3336129266880686,0.3336129266880686,1,0.4247619151420568
SIG001,T4,DENDRITIC,-0.1022662869639102,0.1022662869639102,3,0.1302072564648353
SIG001,T4,GRANULOCYTE,-0.2625834787014812,0.2625834787014812,3,0.334325957945243
SIG002,T1,BROAD_OR_UNRESOLVED,-0.0370058316766844,0.0370058316766844,1,0.0534504500412734
SIG002,T1,DENDRITIC,-0.1471255523043766,0.1471255523043766,1,0.2125050735772149
SIG002,T1,GRANULOCYTE,-0.1998858709967752,0.1998858709967752,1,0.2887109754758205
SIG002,T1,MONOCYTE,0.3083217552289845,0.3083217552289845,1,0.4453335009056911
SIG002,T2,BROAD_OR_UNRESOLVED,-0.1196185796785434,0.1196185796785434,1,0.1165812852570624
SIG002,T2,DENDRITIC,-0.6124431761908649,0.6124431761908649,1,0.5968923290940551
SIG002,T2,GRANULOCYTE,-0.1399753225430799,0.1399753225430799,1,0.1364211400118409
SIG002,T2,MONOCYTE,0.154015940429976,0.154015940429976,1,0.1501052456370414
SIG002,T4,BROAD_OR_UNRESOLVED,-0.0137207280488661,0.0137207280488661,1,0.0180071661461423
SIG002,T4,DENDRITIC,-0.3120848898748439,0.3120848898748439,1,0.4095820894971596
SIG002,T4,GRANULOCYTE,0.3124542565118053,0.3124542565118053,1,0.4100668484966032
SIG002,T4,MONOCYTE,-0.123699444288572,0.123699444288572,1,0.1623438958600948
SIG003,T1,BROAD_OR_UNRESOLVED,0.0111934946019346,0.0111934946019346,1,0.0586232092750668
SIG003,T1,DENDRITIC,-0.1797461475697081,0.1797461475697081,1,0.9413767907249332
SIG003,T2,BROAD_OR_UNRESOLVED,-0.3593740371864152,0.3593740371864152,1,0.4009739021041001
SIG003,T2,DENDRITIC,-0.5368788992281726,0.5368788992281726,1,0.5990260978958999
SIG003,T4,BROAD_OR_UNRESOLVED,-0.1567103297534853,0.1567103297534853,1,0.2603422948399428
SIG003,T4,DENDRITIC,-0.4452292431070446,0.4452292431070446,1,0.7396577051600572
SIG004,T1,BROAD_OR_UNRESOLVED,0.0351908077067799,0.2272074235472981,2,0.9163168403760836
SIG004,T1,DENDRITIC,-0.0207498479288492,0.0207498479288492,1,0.0836831596239163
SIG004,T2,BROAD_OR_UNRESOLVED,0.8063207335878453,0.8063207335878453,2,0.8857108179597982
SIG004,T2,DENDRITIC,-0.104044949248879,0.104044949248879,1,0.1142891820402018
SIG004,T4,BROAD_OR_UNRESOLVED,0.3482557197233519,0.3482557197233519,2,0.9615423282471944
SIG004,T4,DENDRITIC,0.0139287723085183,0.0139287723085183,1,0.0384576717528056
SIG022,T1,BROAD_OR_UNRESOLVED,0.0157440114216937,0.0547853000242232,3,0.2654258488147549
SIG022,T1,GRANULOCYTE,0.0446794322261154,0.0446794322261154,1,0.2164645665522416
SIG022,T1,MONOCYTE,-0.1069405604853316,0.1069405604853316,3,0.5181095846330036
SIG022,T2,BROAD_OR_UNRESOLVED,0.0924784047086383,0.1503207498965911,3,0.3243048028067959
SIG022,T2,GRANULOCYTE,0.1287290207939474,0.1287290207939474,1,0.2777224018161964
SIG022,T2,MONOCYTE,-0.0916568246658384,0.1844671078619646,3,0.3979727953770076
SIG022,T3,BROAD_OR_UNRESOLVED,0.0863514561760828,0.0938901142973119,3,0.3304404962215093
SIG022,T3,GRANULOCYTE,0.0229134501009911,0.0229134501009911,1,0.0806424816732283
SIG022,T3,MONOCYTE,0.0438643442470969,0.1673326579198391,3,0.5889170221052624
SIG022,T4,BROAD_OR_UNRESOLVED,0.1314078365636339,0.1314078365636339,3,0.2969600014880348
SIG022,T4,GRANULOCYTE,0.1313743030375718,0.1313743030375718,1,0.2968842212590187
SIG022,T4,MONOCYTE,-0.0286763771238788,0.1797280836785736,3,0.4061557772529464
SIG023,T1,BROAD_OR_UNRESOLVED,0.0895047577723762,0.0895047577723762,1,0.8637963966925685
SIG023,T1,GRANULOCYTE,-0.0141131296315135,0.0141131296315135,1,0.1362036033074315
SIG023,T2,BROAD_OR_UNRESOLVED,0.0399488767117554,0.0399488767117554,1,0.2461696186683314
SIG023,T2,GRANULOCYTE,-0.1223330365798243,0.1223330365798243,1,0.7538303813316686
SIG023,T3,BROAD_OR_UNRESOLVED,-0.4381724342810734,0.4381724342810734,1,0.6608240946807714
SIG023,T3,GRANULOCYTE,-0.2248972658223168,0.2248972658223168,1,0.3391759053192286
SIG023,T4,BROAD_OR_UNRESOLVED,-0.0706048243495991,0.0706048243495991,1,0.2959916277203018
SIG023,T4,GRANULOCYTE,-0.1679317345841466,0.1679317345841466,1,0.7040083722796981
SIG033,T1,BROAD_OR_UNRESOLVED,-0.2273609170232017,0.3067780747785242,4,0.7354560614137465
SIG033,T1,B_LYMPHOCYTE,0.0574167298279917,0.0574167298279917,1,0.1376483049156551
SIG033,T1,MONOCYTE,-0.0234594495548326,0.0234594495548326,1,0.0562406370956842
SIG033,T1,T_LYMPHOCYTE,0.0294720581690079,0.0294720581690079,1,0.0706549965749141
SIG033,T2,BROAD_OR_UNRESOLVED,-0.224880945905336,0.5083921634289238,4,0.7527372855001875
