signature_id,time_window,gene,gene_group,analysis_set,cohort_n,patient_n,pooled_contribution,pooled_se,ci95_lower,ci95_upper,tau2,I2_percent,prediction_lower,prediction_upper,direction_consistency,p_value,cohorts,fdr_within_signature_window
SIG001,T1,CEACAM1,UP_GEOMETRIC_MEAN,ALL_COHORTS,4,172,-0.140578070622972,0.05744794040335683,-0.32340305630582544,0.04224691505988146,0.011554563574237028,89.06984126703931,-0.6649870627222729,0.3838309214763289,1.0,0.09192052686045503,GSE236713;GSE57065;GSE95233;GSE54514,
SIG001,T1,CEACAM1,UP_GEOMETRIC_MEAN,PRESPECIFIED_NON_PILOT_ONLY,2,113,-0.11585127905460148,0.057997379628469216,-0.8527778587905074,0.6210753006813045,0.005754906021947487,84.46262544618419,,,1.0,0.29548253507965044,GSE236713;GSE95233,
SIG001,T1,CEACAM1,UP_GEOMETRIC_MEAN,PRIMARY_INDEPENDENT,4,172,-0.140578070622972,0.05744794040335683,-0.32340305630582544,0.04224691505988146,0.011554563574237028,89.06984126703931,-0.6649870627222729,0.3838309214763289,1.0,0.09192052686045503,GSE236713;GSE57065;GSE95233;GSE54514,0.27041240968021213
SIG001,T1,CEACAM1,UP_GEOMETRIC_MEAN,STRICT_NEVER_USED,2,113,-0.11585127905460148,0.057997379628469216,-0.8527778587905074,0.6210753006813045,0.005754906021947487,84.46262544618419,,,1.0,0.29548253507965044,GSE236713;GSE95233,
SIG001,T1,ZDHHC19,UP_GEOMETRIC_MEAN,ALL_COHORTS,4,172,-0.041058970989778225,0.054446677985260435,-0.21433260017897232,0.13221465819941586,0.0083147763301808,73.97017338730849,-0.49801643203778034,0.4158984900582239,0.5,0.5055739905208597,GSE236713;GSE57065;GSE95233;GSE54514,
SIG001,T1,ZDHHC19,UP_GEOMETRIC_MEAN,PRESPECIFIED_NON_PILOT_ONLY,2,113,-0.033734192898824754,0.094870987922086,-1.239184388984426,1.1717160031867764,0.015380416814776011,85.30195100026265,,,0.5,0.7825072054283274,GSE236713;GSE95233,
SIG001,T1,ZDHHC19,UP_GEOMETRIC_MEAN,PRIMARY_INDEPENDENT,4,172,-0.041058970989778225,0.054446677985260435,-0.21433260017897232,0.13221465819941586,0.0083147763301808,73.97017338730849,-0.49801643203778034,0.4158984900582239,0.5,0.5055739905208597,GSE236713;GSE57065;GSE95233;GSE54514,0.6179237661921619
SIG001,T1,ZDHHC19,UP_GEOMETRIC_MEAN,STRICT_NEVER_USED,2,113,-0.033734192898824754,0.094870987922086,-1.239184388984426,1.1717160031867764,0.015380416814776011,85.30195100026265,,,0.5,0.7825072054283274,GSE236713;GSE95233,
SIG001,T1,NMRK1,UP_GEOMETRIC_MEAN,ALL_COHORTS,4,172,-0.008950395451372405,0.007453800719760638,-0.03267171601229983,0.014770925109555019,4.8550689018866506e-05,16.342518127907578,-0.05285217985597771,0.0349513889532329,0.5,0.3159995268080617,GSE236713;GSE57065;GSE95233;GSE54514,
SIG001,T1,NMRK1,UP_GEOMETRIC_MEAN,PRESPECIFIED_NON_PILOT_ONLY,2,113,-0.005202377423539562,0.0013205197571151304,-0.02198117181594799,0.011576416968868866,0.0,0.0,,,0.5,0.1582510456927803,GSE236713;GSE95233,
SIG001,T1,NMRK1,UP_GEOMETRIC_MEAN,PRIMARY_INDEPENDENT,4,172,-0.008950395451372405,0.007453800719760638,-0.03267171601229983,0.014770925109555019,4.8550689018866506e-05,16.342518127907578,-0.05285217985597771,0.0349513889532329,0.5,0.3159995268080617,GSE236713;GSE57065;GSE95233;GSE54514,0.43449934936108486
SIG001,T1,NMRK1,UP_GEOMETRIC_MEAN,STRICT_NEVER_USED,2,113,-0.005202377423539562,0.0013205197571151304,-0.02198117181594799,0.011576416968868866,0.0,0.0,,,0.5,0.1582510456927803,GSE236713;GSE95233,
SIG001,T1,GNA15,UP_GEOMETRIC_MEAN,ALL_COHORTS,4,172,-0.022663409087812267,0.017316940827231505,-0.07777364344226137,0.03244682526663684,0.0008820271846186699,73.46918581116901,-0.1705835553097727,0.12525673713414814,0.75,0.28185079301851385,GSE236713;GSE57065;GSE95233;GSE54514,
SIG001,T1,GNA15,UP_GEOMETRIC_MEAN,PRESPECIFIED_NON_PILOT_ONLY,2,113,-0.010789474681118747,0.0011248443192258192,-0.025081976897814585,0.0035030275355770937,0.0,0.0,,,1.0,0.0661311651004985,GSE236713;GSE95233,
SIG001,T1,GNA15,UP_GEOMETRIC_MEAN,PRIMARY_INDEPENDENT,4,172,-0.022663409087812267,0.017316940827231505,-0.07777364344226137,0.03244682526663684,0.0008820271846186699,73.46918581116901,-0.1705835553097727,0.12525673713414814,0.75,0.28185079301851385,GSE236713;GSE57065;GSE95233;GSE54514,0.43449934936108486
SIG001,T1,GNA15,UP_GEOMETRIC_MEAN,STRICT_NEVER_USED,2,113,-0.010789474681118747,0.0011248443192258192,-0.025081976897814585,0.0035030275355770937,0.0,0.0,,,1.0,0.0661311651004985,GSE236713;GSE95233,
SIG001,T1,BATF,UP_GEOMETRIC_MEAN,ALL_COHORTS,4,172,-0.019885972653594094,0.008478937947537754,-0.04686973739747015,0.007097792090281961,0.0002124780644478026,39.04227696868197,-0.09244284109815334,0.05267089579096515,1.0,0.10073157112942284,GSE236713;GSE57065;GSE95233;GSE54514,
SIG001,T1,BATF,UP_GEOMETRIC_MEAN,PRESPECIFIED_NON_PILOT_ONLY,2,113,-0.006808530163486983,0.003202587301702804,-0.04750126010522043,0.03388419977824647,0.0,0.0,,,1.0,0.2799032462987205,GSE236713;GSE95233,
SIG001,T1,BATF,UP_GEOMETRIC_MEAN,PRIMARY_INDEPENDENT,4,172,-0.019885972653594094,0.008478937947537754,-0.04686973739747015,0.007097792090281961,0.0002124780644478026,39.04227696868197,-0.09244284109815334,0.05267089579096515,1.0,0.10073157112942284,GSE236713;GSE57065;GSE95233;GSE54514,0.27041240968021213
