dataset,signature_id,time_window,record_n,pass_n,max_raw_absolute_error,max_delta_z_absolute_error,status
GSE57065,SIG023,T1,28,28,4.440892098500626e-16,2.220446049250313e-16,PASS
GSE57065,SIG023,T2,26,26,8.881784197001252e-16,2.220446049250313e-16,PASS
GSE57065,SIG033,T1,28,28,2.55351295663786e-15,2.3869795029440866e-15,PASS
GSE57065,SIG033,T2,26,26,3.774758283725532e-15,3.552713678800501e-15,PASS
GSE57065,SIG034,T1,28,28,7.719519468096792e-16,9.2148511043888e-15,PASS
GSE57065,SIG034,T2,26,26,8.604228440844963e-16,1.0325074129013956e-14,PASS
GSE8121,SIG001,T2,30,30,1.8318679906315083e-15,1.27675647831893e-15,PASS
GSE8121,SIG002,T2,30,30,8.881784197001252e-16,6.661338147750939e-16,PASS
GSE8121,SIG003,T2,30,30,2.220446049250313e-16,8.881784197001252e-16,PASS
GSE8121,SIG004,T2,30,30,8.881784197001252e-16,1.7763568394002505e-15,PASS
GSE8121,SIG022,T2,30,30,1.1102230246251565e-15,7.771561172376096e-16,PASS
GSE8121,SIG023,T2,30,30,1.7763568394002505e-15,3.3306690738754696e-16,PASS
GSE8121,SIG033,T2,30,30,1.4432899320127035e-15,3.0531133177191805e-16,PASS
GSE8121,SIG034,T2,30,30,3.1086244689504383e-15,1.3322676295501878e-15,PASS
GSE95233,SIG001,T1,20,20,3.774758283725532e-15,6.217248937900877e-15,PASS
GSE95233,SIG001,T2,31,31,7.327471962526033e-15,1.2212453270876722e-14,PASS
GSE95233,SIG002,T1,20,20,5.329070518200751e-15,5.384581669432009e-15,PASS
GSE95233,SIG002,T2,31,31,4.440892098500626e-15,4.496403249731884e-15,PASS
GSE95233,SIG003,T1,20,20,0.0,0.0,PASS
GSE95233,SIG003,T2,31,31,0.0,0.0,PASS
GSE95233,SIG004,T1,20,20,1.3877787807814457e-17,2.220446049250313e-16,PASS
GSE95233,SIG004,T2,31,31,2.7755575615628914e-17,8.881784197001252e-16,PASS
GSE95233,SIG022,T1,20,20,7.16093850883226e-15,1.3655743202889425e-14,PASS
GSE95233,SIG022,T2,31,31,4.440892098500626e-15,8.43769498715119e-15,PASS
GSE95233,SIG023,T1,20,20,8.881784197001252e-16,3.885780586188048e-16,PASS
GSE95233,SIG023,T2,31,31,8.881784197001252e-16,4.440892098500626e-16,PASS
GSE95233,SIG033,T1,20,20,4.912736883966318e-15,7.008282842946301e-15,PASS
GSE95233,SIG033,T2,31,31,3.1086244689504383e-15,4.440892098500626e-15,PASS
GSE95233,SIG034,T1,20,20,5.941427905220564e-16,6.980527267330672e-15,PASS
GSE95233,SIG034,T2,31,31,7.7021722333370235e-16,8.992806499463768e-15,PASS
