signature_id,time_window,gene,omitted_dataset,cohort_n,pooled_contribution,ci95_lower,ci95_upper,tau2,I2_percent
SIG034,T1,SMYD2,GSE54514,3,-0.0005564469277088719,-0.017322362569333984,0.016209468713916243,3.4747257403861553e-06,0.0
SIG034,T1,SIDT1,GSE236713,3,-0.0015702506311284794,-0.014077107861856978,0.010936606599600019,0.0,0.0
SIG034,T1,SIDT1,GSE57065,3,-0.0010706838783293123,-0.01303689818261108,0.010895530425952454,0.0,0.0
SIG034,T1,SIDT1,GSE95233,3,-0.001329232655995959,-0.00768942949749855,0.005030964185506633,0.0,0.0
SIG034,T1,SIDT1,GSE54514,3,0.004273677191489151,-0.014109812954395697,0.022657167337374,0.0,0.0
SIG034,T1,EXOC2,GSE236713,3,0.006606433810612387,-0.014183540295481432,0.02739640791670621,1.8459320330156722e-05,32.52871174933376
SIG034,T1,EXOC2,GSE57065,3,0.002931325467620187,-0.009434889431674837,0.015297540366915212,0.0,0.0
SIG034,T1,EXOC2,GSE95233,3,0.0028122620039337646,-0.017170963068306837,0.02279548707617437,0.0,36.58292750972982
SIG034,T1,EXOC2,GSE54514,3,0.007976452367176999,-0.021790059303744537,0.037742964038098535,2.722886005034099e-05,33.944491827984216
SIG034,T1,TRIB2,GSE236713,3,-0.001230625037643919,-0.05788695310384201,0.055425703028554166,0.0003817141327098818,67.51167335804146
SIG034,T1,TRIB2,GSE57065,3,-0.017276369923596543,-0.046753292602827824,0.012200552755634739,0.0,39.47575168174031
SIG034,T1,TRIB2,GSE95233,3,-0.01729995072124344,-0.049466282765215516,0.014866381322728633,0.0,48.32407587934108
SIG034,T1,TRIB2,GSE54514,3,-0.0004005327620437082,-0.05270984176179498,0.051908776237707566,0.00029970284470642113,60.034994496427565
SIG034,T1,KLRB1,GSE236713,3,-0.003807290943733701,-0.05836982956563902,0.05075524767817162,8.434945594985932e-05,17.487213786052518
SIG034,T1,KLRB1,GSE57065,3,-0.002929835738271341,-0.02749612217963088,0.021636450703088197,0.0,0.0
SIG034,T1,KLRB1,GSE95233,3,-0.002121147353351208,-0.029640828039341045,0.025398533332638633,0.0,15.973603397996047
SIG034,T1,KLRB1,GSE54514,3,0.0006833051636118637,-0.011541565949169224,0.012908176276392952,0.0,0.0
SIG001,T2,CEACAM1,GSE57065,4,-0.21903096841645306,-0.3879041612931235,-0.05015777553978262,0.009485863721496445,84.47800631817613
SIG001,T2,CEACAM1,GSE95233,4,-0.24382852242812408,-0.46808582712775043,-0.019571217728497736,0.01763060773434317,89.20246003284926
SIG001,T2,CEACAM1,GSE54514,4,-0.29449752802864193,-0.43935706861532964,-0.1496379874419542,0.006245548250072003,76.61645401504687
SIG001,T2,CEACAM1,GSE110487,4,-0.23955322706257945,-0.45971681281844645,-0.019389641306712446,0.01687322421340796,88.61318750475502
SIG001,T2,CEACAM1,GSE8121,4,-0.27308711269952574,-0.4875882962075788,-0.058585929191472624,0.01596816869879998,88.24458113959449
SIG001,T2,ZDHHC19,GSE57065,4,-0.16258763355369307,-0.32567358160957594,0.0004983145021898172,0.006719963735255487,60.60702908415209
SIG001,T2,ZDHHC19,GSE95233,4,-0.1327096797578118,-0.3115921543452944,0.046172794829670794,0.008301571144956003,65.70715782292581
SIG001,T2,ZDHHC19,GSE54514,4,-0.12635396787020262,-0.28464630589488293,0.0319383701544777,0.00632133458193004,63.34602542752086
SIG001,T2,ZDHHC19,GSE110487,4,-0.10798399363741916,-0.2521123033311788,0.036144316056340484,0.0030529547245722603,40.86458499205797
SIG001,T2,ZDHHC19,GSE8121,4,-0.1720705497897571,-0.3081987842777386,-0.03594231530177561,0.0033236189866782447,38.81459853052539
SIG001,T2,NMRK1,GSE57065,4,-0.026358808298784092,-0.0654278168142809,0.012710200216712722,0.00019036973915636702,40.27358202428765
SIG001,T2,NMRK1,GSE95233,4,-0.015447349776679666,-0.06293881744537898,0.03204411789201965,0.000491442729344011,56.89788687419608
SIG001,T2,NMRK1,GSE54514,4,-0.013228878521904016,-0.05696177199995697,0.030504014956148944,0.00035269384806674666,48.08722081847928
SIG001,T2,NMRK1,GSE110487,4,-0.01534475675511476,-0.0684816284392775,0.03779211492904798,0.0006360948006876081,56.61640683423615
SIG001,T2,NMRK1,GSE8121,4,-0.029068152193966714,-0.060624385928596605,0.0024880815406631805,0.0,24.724925834902443
SIG001,T2,GNA15,GSE57065,4,-0.04448250519671228,-0.10419525979849761,0.015230249405073053,0.0007723946935528312,61.49507017332488
SIG001,T2,GNA15,GSE95233,4,-0.04330991449469647,-0.09283322256785939,0.00621339357846646,0.0005327329080841913,57.11001100654709
SIG001,T2,GNA15,GSE54514,4,-0.06048102931769055,-0.08976058878967344,-0.031201469845707663,0.0,0.0
SIG001,T2,GNA15,GSE110487,4,-0.03919970095893704,-0.09712168875871882,0.018722286840844746,0.0004748815720956195,42.652609449798646
SIG001,T2,GNA15,GSE8121,4,-0.05259102400586273,-0.11106889745107569,0.005886849439350236,0.0006873872049972826,55.138101452549016
SIG001,T2,BATF,GSE57065,4,-0.05992272234037292,-0.12206509921453987,0.0022196545337940243,0.0012418744215261092,81.21117555195366
SIG001,T2,BATF,GSE95233,4,-0.05320955938313271,-0.11298088908671058,0.006561770320445158,0.0010981096662000902,78.74715929943696
SIG001,T2,BATF,GSE54514,4,-0.045133324923202135,-0.0897917850108572,-0.0004748648355470675,0.0005207051691146172,63.098643126653656
SIG001,T2,BATF,GSE110487,4,-0.057735121255765416,-0.12147041971072395,0.006000177199193109,0.001298784546355952,80.53282216635675
SIG001,T2,BATF,GSE8121,4,-0.07064180888747854,-0.10881436010181839,-0.03246925767313868,0.00011731892051885945,20.393169180599184
SIG001,T2,C3AR1,GSE57065,4,-0.0503520179258221,-0.1326738365809126,0.031969800729268416,0.0019390935377066034,72.66767146489917
SIG001,T2,C3AR1,GSE95233,4,-0.04135156335392918,-0.14436280566411466,0.06165967895625631,0.0035821163822805477,85.60442996693499
SIG001,T2,C3AR1,GSE54514,4,-0.013106549316451754,-0.08889852022003644,0.06268542158713294,0.001651484993936766,73.18084169068108
SIG001,T2,C3AR1,GSE110487,4,-0.021405532835495372,-0.1202520099174726,0.07744094424648186,0.003168218805416248,82.75824405549885
SIG001,T2,C3AR1,GSE8121,4,-0.035859918043493935,-0.14439174482490932,0.07267190873792145,0.004009824029237172,86.41361964905376
SIG001,T2,FAM214A,GSE57065,4,-0.03561627626844373,-0.07984213798780135,0.008609585450913892,0.0006385072979521019,88.29284153364054
SIG001,T2,FAM214A,GSE95233,4,-0.04016884438339976,-0.09483045168855866,0.01449276292175914,0.0009436572440173878,89.83212530730256
SIG001,T2,FAM214A,GSE54514,4,-0.046474496987098435,-0.10733841870180785,0.014389424727610983,0.0012506443248568695,89.73977874528111
SIG001,T2,FAM214A,GSE110487,4,-0.04722545453708764,-0.1080208982030936,0.013569989128918318,0.0012562035666672706,89.95101832278537
SIG001,T2,FAM214A,GSE8121,4,-0.05251030998013244,-0.08270912298480171,-0.022311496975463162,2.7247561642725957e-05,26.969763854671058
SIG001,T2,TGFBI,GSE57065,4,-0.0745018029819772,-0.1721957961405894,0.023192190176635014,0.0029428077528538474,85.2348060118595
SIG001,T2,TGFBI,GSE95233,4,-0.06354649438562976,-0.1661915677499043,0.039098578978644785,0.0030817037103526125,82.19734763015327
