signature_id,gene,gene_group,original_coefficient,direction_coefficient,attribution_method
SIG034,CAMP,MODULE_2,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,CEACAM8,MODULE_2,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,DEFA4,MODULE_2,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,LCN2,MODULE_2,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,CTSG,MODULE_2,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,AZU1,MODULE_2,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,MAFB,MODULE_3,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,OASL,MODULE_3,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,UBE2L6,MODULE_3,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,VAMP5,MODULE_3,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,CCL2,MODULE_3,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,NAPA,MODULE_3,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,ATG3,MODULE_3,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,VRK2,MODULE_3,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,TMEM123,MODULE_3,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,CASP7,MODULE_3,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,DOK2,MODULE_4,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,HLA-DPB1,MODULE_4,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,BUB3,MODULE_4,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,SMYD2,MODULE_4,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,SIDT1,MODULE_4,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,EXOC2,MODULE_4,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,TRIB2,MODULE_4,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
SIG034,KLRB1,MODULE_4,,1,EXACT_OWEN_VALUE_FOUR_FIXED_MODULES
