dataset,signature_id,time_window,gene,gene_group,paired_n,mean_standardized_contribution,median_standardized_contribution,bootstrap_se,ci95_lower,ci95_upper,positive_fraction,negative_fraction,mean_absolute_contribution,development_overlap_status,analysis_role
GSE236713,SIG001,T4,RPGRIP1,DOWN_GEOMETRIC_MEAN,68,-0.1786998725825562,-0.15883521562912206,0.033497483501962924,-0.24605951438013796,-0.11640449532235851,0.25,0.75,0.2358431285828588,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG001,T4,HLA-DPB1,DOWN_GEOMETRIC_MEAN,68,-0.034058335710088185,-0.03475354664014779,0.010262284480811672,-0.05407511487257184,-0.014188890598684119,0.35294117647058826,0.6470588235294118,0.07312832425901958,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG002,T1,PLAC8,LINEAR_PANEL,93,-0.12291543848560163,-0.14779453348902535,0.03840133691133108,-0.19980653945264235,-0.04644188751193567,0.3655913978494624,0.6344086021505376,0.3077044559923751,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG002,T1,LAMP1,LINEAR_PANEL,93,-0.039496306733760436,-0.026779057589203726,0.02104460053807924,-0.07986959555783109,0.0022274888167202246,0.44086021505376344,0.5591397849462365,0.15932817558314147,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG002,T1,PLA2G7,LINEAR_PANEL,93,0.04238399216070557,-0.03452993794561563,0.06593235472926645,-0.08872588268965495,0.17194821767428975,0.4838709677419355,0.5161290322580645,0.49527669230522703,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG002,T1,CEACAM4,LINEAR_PANEL,93,0.063793043070132,0.060282685727129415,0.03770178800770048,-0.012490955214259114,0.13381195542764984,0.5913978494623656,0.40860215053763443,0.2975461459238359,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG002,T4,PLAC8,LINEAR_PANEL,68,-0.3120848898748439,-0.29847397516360474,0.05737889643344354,-0.42369223335014033,-0.20231179442977834,0.23529411764705882,0.7647058823529411,0.443276538347166,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG002,T4,LAMP1,LINEAR_PANEL,68,-0.013720728048866189,-0.0336626523889309,0.03289377388900343,-0.0776216532907302,0.05001311461313545,0.4411764705882353,0.5588235294117647,0.21717230097308043,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG002,T4,PLA2G7,LINEAR_PANEL,68,-0.12369944428857205,-0.09319016131202863,0.09935698327990818,-0.3107183412691231,0.08285618101877903,0.45588235294117646,0.5441176470588235,0.6707074493427359,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG002,T4,CEACAM4,LINEAR_PANEL,68,0.3124542565118053,0.2866174822776064,0.047629802615508594,0.21961803048491293,0.40221003300102154,0.7794117647058824,0.22058823529411764,0.40144575859348536,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG003,T1,FAIM3,RATIO_PANEL,93,0.02028377076585472,0.06837444306134098,0.05984333434421845,-0.0999031884474429,0.13255833629190744,0.5483870967741935,0.45161290322580644,0.437697548269483,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG003,T1,PLAC8,RATIO_PANEL,93,-0.1737479481463496,-0.19083556503905238,0.05953587717850681,-0.2892030963565021,-0.06182069756769949,0.3655913978494624,0.6344086021505376,0.4619564991946468,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG003,T4,FAIM3,RATIO_PANEL,68,-0.15671032975348537,-0.08479937999811513,0.07761774606782625,-0.32087877171675705,-0.013342948870652106,0.47058823529411764,0.5294117647058824,0.5026205205133718,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG003,T4,PLAC8,RATIO_PANEL,68,-0.4452292431070446,-0.48782596988237537,0.09150076144640218,-0.6203074866786858,-0.2640969663248587,0.23529411764705882,0.7647058823529411,0.684435073603037,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG004,T1,NLRP1,RATIO_PANEL,93,0.07698252545225538,0.07301968787082175,0.05145500491032258,-0.025812849989493902,0.17933450108965845,0.5698924731182796,0.43010752688172044,0.36663441991623774,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG004,T1,IDNK,RATIO_PANEL,93,0.043590194589079034,0.024858360370484278,0.05998321008103771,-0.06927888173678774,0.1649395115214246,0.5376344086021505,0.46236559139784944,0.4185779685403243,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG004,T1,PLAC8,RATIO_PANEL,93,0.00012627096414408016,2.537738925547702e-05,0.010088964690438025,-0.019608345328596732,0.019473145209391758,0.5053763440860215,0.4946236559139785,0.057322758753835475,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
