dataset,signature_id,time_window,time_label,pathway,tier,pathway_method,paired_n,spearman_rho,p_value,fisher_z,fisher_z_se,overlap_status,primary_independent_rule,fdr_within_dataset_signature_window_tier
GSE110487,SIG001,T2,T48,HALLMARK_GLYCOLYSIS,HALLMARK_SECONDARY,SINGSCORE,31,-0.12419354838709679,0.505635467500221,-0.12483804541329424,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_SECONDARY,SINGSCORE,31,-0.04516129032258065,0.8093712112440687,-0.04519203073413451,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_HEME_METABOLISM,HALLMARK_SECONDARY,SINGSCORE,31,0.05524193548387097,0.7678716935426563,0.055298232011175105,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_HYPOXIA,HALLMARK_SECONDARY,SINGSCORE,31,-0.2270161290322581,0.21939342327301325,-0.2310412034256633,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_SECONDARY,SINGSCORE,31,0.029435483870967744,0.8750961161944117,0.02944398972920594,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_SECONDARY,SINGSCORE,31,0.024193548387096777,0.8972096046528164,0.02419827043092509,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_INFLAMMATORY_RESPONSE,PRESET_PRIMARY,SINGSCORE,31,0.08750000000000001,0.6397426728359816,0.0877243387530963,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9279501281173965
GSE110487,SIG001,T2,T48,HALLMARK_INTERFERON_ALPHA_RESPONSE,PRESET_PRIMARY,SINGSCORE,31,0.04516129032258065,0.8093712112440687,0.04519203073413451,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9279501281173965
GSE110487,SIG001,T2,T48,HALLMARK_INTERFERON_GAMMA_RESPONSE,PRESET_PRIMARY,SINGSCORE,31,0.02620967741935484,0.8886945514139857,0.02621568144897503,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9279501281173965
GSE110487,SIG001,T2,T48,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_SECONDARY,SINGSCORE,31,0.015725806451612905,0.9330846610247484,0.01572710297982506,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_SECONDARY,SINGSCORE,31,-0.1455645161290323,0.4346033734489133,-0.14660591179294447,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_MITOTIC_SPINDLE,HALLMARK_SECONDARY,SINGSCORE,31,-0.036290322580645164,0.8463197798333773,-0.03630626648185457,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_MTORC1_SIGNALING,HALLMARK_SECONDARY,SINGSCORE,31,0.03266129032258065,0.8615325286372387,0.032672911679915345,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_MYC_TARGETS_V1,HALLMARK_SECONDARY,SINGSCORE,31,-0.1737903225806452,0.3497873912976259,-0.17557239775336178,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_MYC_TARGETS_V2,HALLMARK_SECONDARY,SINGSCORE,31,-0.18951612903225806,0.30720200329145125,-0.19183522414037202,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_MYOGENESIS,HALLMARK_SECONDARY,SINGSCORE,31,-0.22258064516129034,0.22877574725784172,-0.2263696357958857,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_NOTCH_SIGNALING,HALLMARK_SECONDARY,SINGSCORE,31,-0.049193548387096775,0.7927036191007251,-0.049233288987567174,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_OXIDATIVE_PHOSPHORYLATION,PRESET_PRIMARY,SINGSCORE,31,0.01693548387096774,0.9279501281173965,0.016937103241824014,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9279501281173965
GSE110487,SIG001,T2,T48,HALLMARK_P53_PATHWAY,HALLMARK_SECONDARY,SINGSCORE,31,-0.1467741935483871,0.4307535369103874,-0.14784199897247075,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_SECONDARY,SINGSCORE,31,0.20685483870967747,0.26420001086831796,0.20988334473181997,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_PEROXISOME,HALLMARK_SECONDARY,SINGSCORE,31,-0.23911290322580647,0.19514681830790004,-0.24383300838096725,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_SECONDARY,SINGSCORE,31,0.023387096774193553,0.9006188214672899,0.02339136208064771,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_PROTEIN_SECRETION,HALLMARK_SECONDARY,SINGSCORE,31,0.03669354838709678,0.8446327163520038,0.03671002997003998,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SECONDARY,SINGSCORE,31,0.12983870967741937,0.48632896336453246,0.1305757905394362,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
