time_window,time_label,pathway,tier,cohort_count,total_paired_n,pooled_delta_z,ci_low,ci_high,prediction_low,prediction_high,tau2,i2_percent,direction_consistency,p_value,fdr_within_window_tier
T1,T24,HALLMARK_ADIPOGENESIS,HALLMARK_SECONDARY,4,172,0.15496529204167855,-0.00838282749745356,0.31831341158081067,-0.06588061233658876,0.37581119641994587,0.0,0.0,0.75,0.05679845448694099,0.2587485148849534
T1,T24,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,4,172,0.20707192416087924,-0.09162961182686294,0.5057734601486215,-0.3242653154154874,0.738409163737246,0.006440402382451841,24.758967627089152,0.75,0.11450693884542186,0.5152812248043984
T1,T24,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_SECONDARY,4,172,0.11104086595014713,-0.1915087260077316,0.41359045790802584,-0.3916215209219937,0.613703252822288,0.004610379532416959,34.93822379638276,0.5,0.3271845162569714,0.6916156081264921
T1,T24,HALLMARK_ANGIOGENESIS,HALLMARK_SECONDARY,3,141,-0.2120181397295765,-0.8252685287730076,0.4012322493138546,-3.0951107632565935,2.6710744837974407,0.031171209364758885,52.831415028558446,1.0,0.27525396019814247,0.6783101669635883
T1,T24,HALLMARK_APICAL_JUNCTION,HALLMARK_SECONDARY,4,172,-0.03676873570865795,-0.38399015887685606,0.31045268745954013,-0.757470078517965,0.6839326071006492,0.016152852369495024,39.4581360061681,0.75,0.7583142705885253,0.8491629157706999
T1,T24,HALLMARK_APICAL_SURFACE,HALLMARK_SECONDARY,4,172,0.2924643094650201,0.006356267420220829,0.5785723515098193,-0.13233250467570246,0.7172611236057427,0.0016650694837346462,28.772054561456688,1.0,0.04737646379925079,0.2587485148849534
T1,T24,HALLMARK_APOPTOSIS,PRESET_PRIMARY,4,172,-0.038398353942336684,-0.8241275334673361,0.7473308255826627,-2.2382093506952767,2.1614126428106033,0.20043852293338288,84.4877139969888,0.5,0.8862827061335107,0.8862827061335107
T1,T24,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_SECONDARY,4,172,0.23245189589799528,-0.29134413560003425,0.7562479273960249,-0.9786717882498281,1.4435755800458188,0.05214311264931262,56.389327913777585,0.75,0.252718120958669,0.6783101669635883
T1,T24,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_SECONDARY,4,172,-0.061760651875995255,-0.4023499726972356,0.27882866894524505,-0.9569302516664443,0.8334089479144539,0.03183151969074124,57.35313969055468,0.75,0.604337572311911,0.7862132403769624
T1,T24,HALLMARK_COAGULATION,PRESET_PRIMARY,3,141,-0.21598236328349868,-0.9065831647350209,0.47461843816802357,-3.781473988317426,3.3495092617504287,0.052980009285037974,68.97000299077138,1.0,0.31067646869356613,0.7941208517542305
