dataset,time_window,time_label,pathway,tier,paired_n,mean_delta_z,median_delta_z,se_delta_z,bootstrap_ci_low,bootstrap_ci_high,proportion_increasing,mean_ssgsea_delta_z,se_ssgsea_delta_z,p_value,fdr_within_dataset_window_tier
GSE95233,T1,T24,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_SECONDARY,20,0.5870040759949063,0.5911426468884843,0.27096180229587086,0.07782996607118128,1.0913545767623603,0.6,0.6223641477407846,0.2749492917972368,0.030282767745387816,0.13565201403317004
GSE95233,T1,T24,Neutrophil degranulation,REACTOME_SUPPLEMENT,20,0.0005669087428948338,0.05340217716205707,0.21679868392981105,-0.39630726620629964,0.4150021292966458,0.55,0.0310642183692491,0.21018011799420275,0.9979136071785235,0.9979136071785235
GSE95233,T1,T24,TCR signaling,REACTOME_SUPPLEMENT,20,-0.043018769723977654,-0.05258758772611215,0.2601686813750804,-0.5249857250850136,0.4631724213010707,0.45,-0.09005089258374166,0.2703466470274776,0.8686688743717474,0.9979136071785235
GSE95233,T2,T48,HALLMARK_ADIPOGENESIS,HALLMARK_SECONDARY,31,-0.8157590033219987,-0.9230148467756378,0.2401175266224924,-1.2604855089468436,-0.35197615578496366,0.2903225806451613,-0.8715050393371291,0.22228886620660507,0.0006804630772667699,0.004649831027989594
GSE95233,T2,T48,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,31,0.6356950568857446,0.31114092627806905,0.21805917948816275,0.23243429338752217,1.0938693582140713,0.7419354838709677,0.6988306537027901,0.21484539417151663,0.0035541398973519605,0.031987259076167646
GSE95233,T2,T48,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_SECONDARY,31,-0.030833169851664066,0.09750398557803033,0.26313715367344864,-0.5210069598580304,0.4956130994962926,0.5161290322580645,-0.09283321017075949,0.255754642660615,0.9067211550809655,0.9532196758543483
GSE95233,T2,T48,HALLMARK_ANGIOGENESIS,HALLMARK_SECONDARY,31,-0.4497578759805749,-0.5113606983326473,0.16554257225888147,-0.7685565516528574,-0.12491448851428073,0.3548387096774194,-0.4032058104454119,0.1688969696298426,0.006590221357720274,0.033774884458316404
GSE95233,T2,T48,HALLMARK_APICAL_JUNCTION,HALLMARK_SECONDARY,31,-0.45966769134869195,-0.48774079013654237,0.23845393535477397,-0.9430438575175879,0.0028158217400290416,0.3225806451612903,-0.3730713889302907,0.24336940327206252,0.053892431144541356,0.12275498205145532
GSE95233,T2,T48,HALLMARK_APICAL_SURFACE,HALLMARK_SECONDARY,31,0.5647118998505961,0.9287946268524178,0.25825552391185674,0.0646934539720693,1.0503676362982732,0.6774193548387096,0.5897187170957652,0.26634019917444623,0.028768803257909897,0.08425149525530755
GSE95233,T2,T48,HALLMARK_APOPTOSIS,PRESET_PRIMARY,31,-0.42334244273361754,-0.5466583819082139,0.18521456984512397,-0.781693216187443,-0.045736843502424886,0.25806451612903225,-0.3048845530890246,0.2071423976724682,0.02227260533679617,0.06681781601038851
