time_window,pathway,tier,omitted_dataset,remaining_cohorts,pooled_delta_z,ci_low,ci_high
T1,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_SECONDARY,GSE236713,3,-0.26260847262543596,-0.6728329404138196,0.1476159951629476
T1,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_SECONDARY,GSE54514,3,0.013912976438055806,-0.6069290250284715,0.634754977904583
T1,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_SECONDARY,GSE57065,3,-0.09987044350043706,-1.0093711027366719,0.8096302157357979
T1,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_SECONDARY,GSE95233,3,-0.08140543047017426,-0.9497158304918659,0.7869049695515175
T1,HALLMARK_HEME_METABOLISM,HALLMARK_SECONDARY,GSE236713,3,-0.19984132663777243,-1.4594302625935822,1.0597476093180371
T1,HALLMARK_HEME_METABOLISM,HALLMARK_SECONDARY,GSE54514,3,-0.2572414697441636,-1.1144977215498466,0.6000147820615195
T1,HALLMARK_HEME_METABOLISM,HALLMARK_SECONDARY,GSE57065,3,0.018258042865145343,-1.0684407113805128,1.1049567971108034
T1,HALLMARK_HEME_METABOLISM,HALLMARK_SECONDARY,GSE95233,3,-0.005125106282796073,-1.1516988751792134,1.141448662613621
T1,HALLMARK_HYPOXIA,HALLMARK_SECONDARY,GSE236713,3,-0.03247771248283009,-0.27622599226931405,0.21127056730365384
T1,HALLMARK_HYPOXIA,HALLMARK_SECONDARY,GSE54514,3,0.08035549356540697,-0.2959260550977585,0.4566370422285724
T1,HALLMARK_HYPOXIA,HALLMARK_SECONDARY,GSE57065,3,0.16502223124135876,0.04474000426711676,0.28530445821560074
T1,HALLMARK_HYPOXIA,HALLMARK_SECONDARY,GSE95233,3,0.0864694805210573,-0.28648695605711494,0.45942591709922953
T1,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_SECONDARY,GSE236713,3,-0.26318915145883554,-2.042016318922165,1.515638016004494
T1,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_SECONDARY,GSE54514,3,-0.3454330979255683,-1.6917120259741063,1.00084583012297
T1,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_SECONDARY,GSE57065,3,0.08618854582387396,-1.274112680905574,1.4464897725533221
T1,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_SECONDARY,GSE95233,3,-0.0009054265502213794,-1.713970082924438,1.7121592298239954
T1,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_SECONDARY,GSE236713,3,-0.3799091955077041,-0.9647196624819923,0.2049012714665841
T1,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_SECONDARY,GSE54514,3,-0.20222982851142332,-1.1837845910338598,0.7793249340110132
T1,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_SECONDARY,GSE57065,3,-0.04378390650998499,-0.6383006748214834,0.5507328618015135
T1,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_SECONDARY,GSE95233,3,-0.2198698772778138,-1.2194086124558081,0.7796688579001806
T1,HALLMARK_INFLAMMATORY_RESPONSE,PRESET_PRIMARY,GSE236713,3,-0.2856601503586499,-1.752410317076512,1.181090016359212
T1,HALLMARK_INFLAMMATORY_RESPONSE,PRESET_PRIMARY,GSE54514,3,-0.32331437896750553,-1.5208289291926222,0.8742001712576113
T1,HALLMARK_INFLAMMATORY_RESPONSE,PRESET_PRIMARY,GSE57065,3,0.03524926364762907,-1.0827261144098856,1.153224641705144
T1,HALLMARK_INFLAMMATORY_RESPONSE,PRESET_PRIMARY,GSE95233,3,-0.053960272250816205,-1.5572689253124063,1.449348380810774
T1,HALLMARK_INTERFERON_ALPHA_RESPONSE,PRESET_PRIMARY,GSE236713,3,0.0365246535670904,-0.9869737262194289,1.0600230333536098
T1,HALLMARK_INTERFERON_ALPHA_RESPONSE,PRESET_PRIMARY,GSE54514,3,-0.020685819449202583,-0.7245804392606167,0.6832088003622115
T1,HALLMARK_INTERFERON_ALPHA_RESPONSE,PRESET_PRIMARY,GSE57065,3,0.22961397504788336,-0.4983669112733953,0.957594861369162
T1,HALLMARK_INTERFERON_ALPHA_RESPONSE,PRESET_PRIMARY,GSE95233,3,0.16014174912573503,-0.8346014264580333,1.1548849247095032
T1,HALLMARK_INTERFERON_GAMMA_RESPONSE,PRESET_PRIMARY,GSE236713,3,-0.033411329921646145,-1.1088776921460373,1.042055032302745
T1,HALLMARK_INTERFERON_GAMMA_RESPONSE,PRESET_PRIMARY,GSE54514,3,-0.07020067888183801,-0.8938412288579384,0.7534398710942624
T1,HALLMARK_INTERFERON_GAMMA_RESPONSE,PRESET_PRIMARY,GSE57065,3,0.1949584001701644,-0.5838572984080472,0.9737740987483761
T1,HALLMARK_INTERFERON_GAMMA_RESPONSE,PRESET_PRIMARY,GSE95233,3,0.11924555826110053,-0.9562304966601904,1.1947216131823915
T1,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_SECONDARY,GSE236713,2,-0.23984257824796934,-2.5622306892690285,2.0825455327730897
T1,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_SECONDARY,GSE57065,2,-0.22576716435365726,-1.2971391691040897,0.8456048403967752
