time_window,time_label,pathway,tier,cohort_count,total_paired_n,pooled_delta_z,ci_low,ci_high,prediction_low,prediction_high,tau2,i2_percent,direction_consistency,p_value,fdr_within_window_tier
T1,T24,HALLMARK_ADIPOGENESIS,HALLMARK_SECONDARY,4,172,0.17793299413067865,0.01658720075632572,0.3392787875050316,-0.040205774506029135,0.3960717627673864,0.0,0.0,0.75,0.039208610811749145,0.1932402259815158
T1,T24,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,4,172,0.2282617959992439,-0.16753258451535946,0.6240561765138473,-0.644250185705973,1.1007737777044608,0.025654227866249272,46.04156084449973,0.75,0.16379037506914657,0.7370566878111595
T1,T24,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_SECONDARY,4,172,0.10295179769907369,-0.1824099090906519,0.3883135044887993,-0.4522780665343439,0.6581816619324913,0.008612010882848917,22.116168617555598,0.5,0.3341567653632915,0.6351313667233758
T1,T24,HALLMARK_ANGIOGENESIS,HALLMARK_SECONDARY,3,141,-0.3543987446048251,-1.1599076584526207,0.4511101692429704,-4.625588142169159,3.916790652959509,0.07794835933718174,75.05097156355306,1.0,0.19887178846796782,0.5096089579491676
T1,T24,HALLMARK_APICAL_JUNCTION,HALLMARK_SECONDARY,4,172,-0.07729173620083488,-0.43082705355353257,0.27624358115186287,-0.8711782073394922,0.7165947349378226,0.021703480931830305,42.634401635076834,0.5,0.536632337208448,0.7794906572837264
T1,T24,HALLMARK_APICAL_SURFACE,HALLMARK_SECONDARY,4,172,0.28711082249870296,-0.03389494964986817,0.6081165946472741,-0.3345035729783487,0.9087252179757546,0.010697986919439172,33.660199533113506,0.75,0.06530125407490883,0.21729476023819919
T1,T24,HALLMARK_APOPTOSIS,PRESET_PRIMARY,4,172,-0.09195531748723158,-0.8992579668554663,0.7153473318810031,-2.358766268433228,2.1748556334587645,0.21321042377991753,85.89349188652436,0.5,0.7410149760101002,0.8128101416180833
T1,T24,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_SECONDARY,4,172,0.2801125306965757,0.10286002435536315,0.4573650370377883,0.04046795947846715,0.5197571019146843,0.0,0.0,1.0,0.015148352841884205,0.1552706166293131
T1,T24,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_SECONDARY,4,172,-0.08439760978747678,-0.5055452085022917,0.3367499889273381,-1.2199905176337977,1.0511952980588442,0.052145847904862194,70.93935295287432,0.75,0.5689738695384461,0.7794906572837264
T1,T24,HALLMARK_COAGULATION,PRESET_PRIMARY,3,141,-0.2464846082977177,-1.0395836045279507,0.5466143879325153,-4.555979702892053,4.063010486296617,0.08105585975696701,79.7604287958857,1.0,0.3129526616389744,0.7941274066597231
T1,T24,HALLMARK_COMPLEMENT,PRESET_PRIMARY,4,172,-0.1389675610989731,-0.8356146439892843,0.5576795217913381,-2.14840668969623,1.8704715674982837,0.1701922452169797,89.85884988594304,0.5,0.5706420869964128,0.7941274066597231
T1,T24,HALLMARK_DNA_REPAIR,HALLMARK_SECONDARY,4,172,0.2948020447385802,-0.005573189646924159,0.5951772791240846,-0.11130388704601529,0.7009079765231756,0.0,33.608168695161105,1.0,0.05233309701319413,0.19505972523099627
T1,T24,HALLMARK_E2F_TARGETS,HALLMARK_SECONDARY,4,172,0.13140608258489517,-0.1172844671795972,0.3800966323493875,-0.42113776275471904,0.6839499279245094,0.010384971456915967,1.9207888740684038,0.5,0.19124123457485923,0.5096089579491676
T1,T24,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_SECONDARY,4,172,-0.21731719213652545,-0.427657302461541,-0.006977081811509883,-0.5357046179293661,0.10107023365631523,0.0011072984428750255,5.0776428739053046,1.0,0.04614697467534371,0.1932402259815158
T1,T24,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_SECONDARY,3,141,-0.2903476101657017,-1.3308797030192587,0.7501844826878554,-6.228583715565779,5.647888495234375,0.15993120902241612,89.08897232423485,0.6666666666666666,0.3528147051219832,0.6351313667233758
T1,T24,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_SECONDARY,4,172,-0.27024033575663775,-0.9288098075074803,0.3883291359942048,-2.1287823128418712,1.5883016413285955,0.14375964968828414,86.7802430564198,0.5,0.28269894533637263,0.6351313667233758
T1,T24,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_SECONDARY,4,172,0.24772017272975128,0.1001076754543184,0.39533267000518413,0.04814875709115346,0.4472915883683491,0.0,0.0,1.0,0.012835272918398592,0.1552706166293131
T1,T24,HALLMARK_G2M_CHECKPOINT,HALLMARK_SECONDARY,4,172,0.06565408187426446,-0.23849407565261393,0.3698022394011429,-0.6907229540474094,0.8220311177959383,0.021769513741504487,37.098545512392924,0.5,0.5414416725777641,0.7794906572837264
T1,T24,HALLMARK_GLYCOLYSIS,HALLMARK_SECONDARY,4,172,0.09036368295014542,-0.1740198619803907,0.3547472278806815,-0.5214298467272195,0.7021572126275103,0.013316401802323373,14.46057888099041,0.75,0.3562932057228694,0.6351313667233758
T1,T24,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_SECONDARY,4,172,-0.09615806628602998,-0.5778243147861454,0.38550818221408545,-1.3406453263699882,1.1483291937979283,0.060751054296659335,61.65077347596992,0.75,0.5703590175246778,0.7794906572837264
T1,T24,HALLMARK_HEME_METABOLISM,HALLMARK_SECONDARY,4,172,-0.11724183499350413,-0.8113730206365348,0.5768893506495265,-2.054631492946949,1.8201478229599408,0.15517718950420767,88.95286111439063,0.5,0.6282160117114854,0.7836359493283165
T1,T24,HALLMARK_HYPOXIA,HALLMARK_SECONDARY,4,172,0.08900564345082423,-0.1256019224658398,0.30361320936748826,-0.3675264999021092,0.5455377868037576,0.006710780827858208,0.0,0.75,0.27855430519221025,0.6351313667233758
T1,T24,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_SECONDARY,4,172,-0.13087668410669953,-1.1295595741945756,0.8678062059811765,-3.0110573260369433,2.7493039578235443,0.3496150622613934,89.56414437905048,0.5,0.7046831210110376,0.7836359493283165
T1,T24,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_SECONDARY,4,172,-0.21010457695690818,-0.7425352114602157,0.3223260575463993,-1.7406643001770254,1.3204551462632093,0.09854997635058531,86.54032079864145,0.75,0.298079991501597,0.6351313667233758
T1,T24,HALLMARK_INFLAMMATORY_RESPONSE,PRESET_PRIMARY,4,172,-0.15925459787018134,-1.010170540135544,0.6916613443951815,-2.611238147128714,2.2927289513883515,0.2532690221141243,91.81311916925091,0.5,0.593374305489388,0.7941274066597231
T1,T24,HALLMARK_INTERFERON_ALPHA_RESPONSE,PRESET_PRIMARY,4,172,0.0974489485954979,-0.46144118765937214,0.656339084850368,-1.473169242492952,1.6680671396839477,0.1024092801493124,87.05722288859666,0.5,0.6176546496242291,0.7941274066597231
T1,T24,HALLMARK_INTERFERON_GAMMA_RESPONSE,PRESET_PRIMARY,4,172,0.0492814518444632,-0.557661130068293,0.6562240337572194,-1.6614637897554871,1.7600266934444138,0.12171521252221545,87.54928461416148,0.5,0.8128101416180833,0.8128101416180833
T1,T24,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_SECONDARY,3,141,-0.25919383641204236,-0.568120795366285,0.04973312254220025,-1.1714889798207386,0.653101306996654,0.0,0.0,1.0,0.06889833861211193,0.21729476023819919
T1,T24,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_SECONDARY,4,172,-0.41822773146618636,-1.5701176504231016,0.7336621874907288,-3.767157417372566,2.9307019544401935,0.4748056328117842,91.72764108872393,0.5,0.33156642436505745,0.6351313667233758
T1,T24,HALLMARK_MITOTIC_SPINDLE,HALLMARK_SECONDARY,4,172,0.07673565482141027,-0.19764657386611667,0.3511178835089372,-0.5619324369110753,0.7154037465538959,0.014599774626062923,26.214479203933255,0.75,0.43901864837256804,0.7499901909698038
