record_type,dataset,signature_id,time_window,scaling_method,paired_n,mean_change,bootstrap_se,ci95_lower,ci95_upper,cohort_n,tau2,I2_percent,prediction_lower,prediction_upper
COHORT,GSE110487,SIG001,T2,BASELINE_SD,31,-1.3107917651278518,0.12768313935392495,-1.564898058170826,-1.0505769346371816,,,,,
COHORT,GSE110487,SIG001,T2,BASELINE_MAD,31,-1.272205710348528,0.12745648805645368,-1.5234038411052873,-1.0222977994997442,,,,,
COHORT,GSE110487,SIG001,T2,BASELINE_PERCENTILE,31,-0.35275754422476585,0.041563767817942854,-0.4308272632674298,-0.2684703433922997,,,,,
COHORT,GSE110487,SIG001,T2,RAW_SCORE,31,-1.2078131206724985,,,,,,,,
COHORT,GSE110487,SIG002,T2,BASELINE_SD,31,-0.6233480169703263,0.17473664448761855,-0.9611675836494655,-0.28755709612646985,,,,,
COHORT,GSE110487,SIG002,T2,BASELINE_MAD,31,-0.5653992383318768,0.15097797675220273,-0.8598194752727107,-0.27058091924400063,,,,,
COHORT,GSE110487,SIG002,T2,BASELINE_PERCENTILE,31,-0.22476586888657643,0.055849104902487644,-0.33509365244536937,-0.1113423517169615,,,,,
COHORT,GSE110487,SIG002,T2,RAW_SCORE,31,-1.1988343546222202,,,,,,,,
COHORT,GSE110487,SIG003,T2,BASELINE_SD,31,-0.7868559868794359,0.15213890224298607,-1.062984850494186,-0.47157339455529357,,,,,
COHORT,GSE110487,SIG003,T2,BASELINE_MAD,31,-0.6827805160093479,0.1292412170750909,-0.933022161781534,-0.4340810175928996,,,,,
COHORT,GSE110487,SIG003,T2,BASELINE_PERCENTILE,31,-0.2518210197710718,0.04582299048523014,-0.340270551508845,-0.16129032258064516,,,,,
COHORT,GSE110487,SIG003,T2,RAW_SCORE,31,-0.08347896858425254,,,,,,,,
COHORT,GSE110487,SIG004,T2,BASELINE_SD,31,0.9322148605921703,0.13270154686589547,0.667674321996034,1.1848195033765299,,,,,
COHORT,GSE110487,SIG004,T2,BASELINE_MAD,31,1.077460121324998,0.15852973662369177,0.7720944703736996,1.3977054123869568,,,,,
COHORT,GSE110487,SIG004,T2,BASELINE_PERCENTILE,31,0.2840790842872008,0.044398053843724236,0.1977107180020812,0.372528616024974,,,,,
COHORT,GSE110487,SIG004,T2,RAW_SCORE,31,0.12280057457390332,,,,,,,,
COHORT,GSE110487,SIG022,T2,BASELINE_SD,31,0.5634089336759799,0.10253759713701983,0.37684688900695834,0.7724878395810029,,,,,
COHORT,GSE110487,SIG022,T2,BASELINE_MAD,31,0.8404578762552816,0.1520064709440179,0.5506192016176393,1.135447628140622,,,,,
COHORT,GSE110487,SIG022,T2,BASELINE_PERCENTILE,31,0.1581685744016649,0.03256799754198915,0.09362643080124869,0.2216441207075962,,,,,
COHORT,GSE110487,SIG022,T2,RAW_SCORE,31,0.6343765596611605,,,,,,,,
COHORT,GSE110487,SIG023,T2,BASELINE_SD,31,-0.26800068679926037,0.12439394680911209,-0.5192413727127099,-0.03220740137729581,,,,,
COHORT,GSE110487,SIG023,T2,BASELINE_MAD,31,-0.25445412365833814,0.11450675008031272,-0.48013571828480583,-0.03762237774986843,,,,,
COHORT,GSE110487,SIG023,T2,BASELINE_PERCENTILE,31,-0.11862643080124871,0.03999424265287516,-0.20187304890738814,-0.04266389177939646,,,,,
COHORT,GSE110487,SIG023,T2,RAW_SCORE,31,-0.6700221754754553,,,,,,,,
COHORT,GSE110487,SIG033,T2,BASELINE_SD,31,0.1763836941232022,0.17609612427077728,-0.20005854519323873,0.48468831390099165,,,,,
COHORT,GSE110487,SIG033,T2,BASELINE_MAD,31,0.18656834663271102,0.18901895748106748,-0.20088108150052675,0.5386294110769878,,,,,
COHORT,GSE110487,SIG033,T2,BASELINE_PERCENTILE,31,0.058272632674297616,0.05414784848261372,-0.0509885535900104,0.16129032258064513,,,,,
COHORT,GSE110487,SIG033,T2,RAW_SCORE,31,0.1965896827313867,,,,,,,,
COHORT,GSE110487,SIG034,T2,BASELINE_SD,31,-0.21653473980379592,0.14898834792693996,-0.498616890141115,0.07884190372581257,,,,,
COHORT,GSE110487,SIG034,T2,BASELINE_MAD,31,-0.22148631992848394,0.15499722136128694,-0.5292191201944388,0.06530682535351862,,,,,
COHORT,GSE110487,SIG034,T2,BASELINE_PERCENTILE,31,-0.06347554630593132,0.048165009798888075,-0.1571279916753382,0.030202913631633584,,,,,
COHORT,GSE110487,SIG034,T2,RAW_SCORE,31,-0.016535932168011865,,,,,,,,
COHORT,GSE236713,SIG001,T1,BASELINE_SD,93,-0.3671599918304727,0.07225891675247054,-0.5099270928627683,-0.22965133895477782,,,,,
COHORT,GSE236713,SIG001,T1,BASELINE_MAD,93,-0.316726623041798,0.06250914944039766,-0.446127099093749,-0.19978558833849247,,,,,
COHORT,GSE236713,SIG001,T1,HEALTHY_CONTROL_SD,93,-1.26880439755038,0.24911572553934336,-1.7650175921079578,-0.8054012277533295,,,,,
COHORT,GSE236713,SIG001,T1,BASELINE_PERCENTILE,93,-0.11457972019886695,0.021210088798712726,-0.1571279916753382,-0.07399410336455083,,,,,
COHORT,GSE236713,SIG001,T1,RAW_SCORE,93,-0.47811328567648154,,,,,,,,
COHORT,GSE236713,SIG001,T4,BASELINE_SD,68,-0.8066189040717808,0.10070382549314832,-1.0222984183031643,-0.6227075320223027,,,,,
COHORT,GSE236713,SIG001,T4,BASELINE_MAD,68,-0.6958211331649987,0.08519157620533169,-0.867603813170582,-0.5313413655342469,,,,,
COHORT,GSE236713,SIG001,T4,HEALTHY_CONTROL_SD,68,-2.7874540674521353,0.3472341143807841,-3.4711619979025614,-2.161882967607951,,,,,
COHORT,GSE236713,SIG001,T4,BASELINE_PERCENTILE,68,-0.25519031141868515,0.02999559223443575,-0.31337045847750866,-0.19831314878892736,,,,,
COHORT,GSE236713,SIG001,T4,RAW_SCORE,68,-1.0503737419533141,,,,,,,,
COHORT,GSE236713,SIG002,T1,BASELINE_SD,93,-0.056234709988524555,0.05794220288244221,-0.1700674020238653,0.052462741863152786,,,,,
COHORT,GSE236713,SIG002,T1,BASELINE_MAD,93,-0.06574984934144892,0.06582774266442334,-0.19784051722794938,0.060289054494110705,,,,,
COHORT,GSE236713,SIG002,T1,HEALTHY_CONTROL_SD,93,-0.12112686870037707,0.127033294864919,-0.37023242459293854,0.12405855902147016,,,,,
COHORT,GSE236713,SIG002,T1,BASELINE_PERCENTILE,93,-0.01965545149728292,0.018117290109060664,-0.05422881257948896,0.015039310902994514,,,,,
COHORT,GSE236713,SIG002,T1,RAW_SCORE,93,-0.11353958739854363,,,,,,,,
COHORT,GSE236713,SIG002,T4,BASELINE_SD,68,-0.1370508057004767,0.11837368825787731,-0.37752690043541526,0.09203059280501316,,,,,
COHORT,GSE236713,SIG002,T4,BASELINE_MAD,68,-0.1602403538449717,0.13568126096963737,-0.4270554317954434,0.10362220409215904,,,,,
COHORT,GSE236713,SIG002,T4,HEALTHY_CONTROL_SD,68,-0.2952008635013872,0.25103408201945815,-0.8065980504720613,0.19612063562559964,,,,,
COHORT,GSE236713,SIG002,T4,BASELINE_PERCENTILE,68,-0.054498269896193774,0.03212138654200825,-0.11375432525951557,0.010818555363321776,,,,,
COHORT,GSE236713,SIG002,T4,RAW_SCORE,68,-0.27670973914590236,,,,,,,,
COHORT,GSE236713,SIG003,T1,BASELINE_SD,93,-0.1534641773804949,0.088617768065283,-0.3321258354325586,0.014068059969391708,,,,,
COHORT,GSE236713,SIG003,T1,BASELINE_MAD,93,-0.18897835573737812,0.11487797780844405,-0.41893993859946066,0.03289561526113379,,,,,
COHORT,GSE236713,SIG003,T1,HEALTHY_CONTROL_SD,93,-0.30964312280258305,0.1831663408217876,-0.6650539261025423,0.05262322566814448,,,,,
COHORT,GSE236713,SIG003,T1,BASELINE_PERCENTILE,93,-0.05168227540756157,0.028173208447855643,-0.10937969707480633,0.001968435657301401,,,,,
COHORT,GSE236713,SIG003,T1,RAW_SCORE,93,-0.022724128105158732,,,,,,,,
COHORT,GSE236713,SIG003,T4,BASELINE_SD,68,-0.60193957286053,0.13995803062114118,-0.8808789840016442,-0.3346904518375212,,,,,
COHORT,GSE236713,SIG003,T4,BASELINE_MAD,68,-0.7412384614710781,0.16710509194748252,-1.0696149844425882,-0.4236935892686143,,,,,
COHORT,GSE236713,SIG003,T4,HEALTHY_CONTROL_SD,68,-1.2145274047692967,0.2745837524243139,-1.7432022772559648,-0.660913032426138,,,,,
COHORT,GSE236713,SIG003,T4,BASELINE_PERCENTILE,68,-0.20263840830449825,0.03858071427384066,-0.2763894896193771,-0.12823853806228377,,,,,
COHORT,GSE236713,SIG003,T4,RAW_SCORE,68,-0.08913188861875555,,,,,,,,
COHORT,GSE236713,SIG004,T1,BASELINE_SD,93,0.1206989910054785,0.08172736930720802,-0.03600712131529995,0.2754767426081239,,,,,
COHORT,GSE236713,SIG004,T1,BASELINE_MAD,93,0.12021369186184334,0.08148891535220323,-0.036784983099350445,0.2829980787718226,,,,,
COHORT,GSE236713,SIG004,T1,HEALTHY_CONTROL_SD,93,0.28878871730393957,0.19463783505558008,-0.10394392366890849,0.6508764489146399,,,,,
COHORT,GSE236713,SIG004,T1,BASELINE_PERCENTILE,93,0.044629436929124765,0.020632604611962275,0.004277951208232171,0.08498092265001735,,,,,
COHORT,GSE236713,SIG004,T1,RAW_SCORE,93,0.017368012978167875,,,,,,,,
COHORT,GSE236713,SIG004,T4,BASELINE_SD,68,0.3621844920318702,0.11178189816442795,0.14915987332063274,0.5865100267181743,,,,,
COHORT,GSE236713,SIG004,T4,BASELINE_MAD,68,0.3607282427098438,0.11422500954149717,0.1386668958007497,0.5918093078216775,,,,,
COHORT,GSE236713,SIG004,T4,HEALTHY_CONTROL_SD,68,0.866575553034368,0.27721421000335783,0.3127027309812018,1.3853104266259617,,,,,
COHORT,GSE236713,SIG004,T4,BASELINE_PERCENTILE,68,0.11743079584775085,0.034794150184499835,0.049518814878892745,0.1855590397923875,,,,,
COHORT,GSE236713,SIG004,T4,RAW_SCORE,68,0.05211663250619173,,,,,,,,
COHORT,GSE236713,SIG022,T1,BASELINE_SD,93,0.007560734455936181,0.06448360500007606,-0.11871632024343419,0.12701865584023134,,,,,
COHORT,GSE236713,SIG022,T1,BASELINE_MAD,93,0.00700461990179056,0.05971419863198406,-0.10823852159940088,0.11970873890751514,,,,,
COHORT,GSE236713,SIG022,T1,HEALTHY_CONTROL_SD,93,0.019499673462803905,0.1673112063178183,-0.2935613569922668,0.35357740316578146,,,,,
COHORT,GSE236713,SIG022,T1,BASELINE_PERCENTILE,93,0.0028905075731298353,0.02105682621834927,-0.03677014683778472,0.04406000693721813,,,,,
COHORT,GSE236713,SIG022,T1,RAW_SCORE,93,0.01165768467415895,,,,,,,,
COHORT,GSE236713,SIG022,T4,BASELINE_SD,68,0.20545357258436167,0.09325010796959696,0.02100505447261377,0.38374351827911574,,,,,
COHORT,GSE236713,SIG022,T4,BASELINE_MAD,68,0.1903418499625374,0.08554278878152531,0.02150466849177279,0.35293571841063054,,,,,
COHORT,GSE236713,SIG022,T4,HEALTHY_CONTROL_SD,68,0.529879418528723,0.23854630677331745,0.062419061547036775,1.0042159894433875,,,,,
COHORT,GSE236713,SIG022,T4,BASELINE_PERCENTILE,68,0.06466262975778546,0.028452391165876948,0.009726427335640135,0.1213235294117647,,,,,
COHORT,GSE236713,SIG022,T4,RAW_SCORE,68,0.3167831086155179,,,,,,,,
COHORT,GSE236713,SIG023,T1,BASELINE_SD,93,-0.056010223761697724,0.045817690913517506,-0.1429350412990525,0.03603665528739835,,,,,
COHORT,GSE236713,SIG023,T1,BASELINE_MAD,93,-0.07141783911315122,0.05830813863123734,-0.1876037079063761,0.04013034647024597,,,,,
COHORT,GSE236713,SIG023,T1,HEALTHY_CONTROL_SD,93,-0.17444036790678003,0.14987918763558375,-0.46673434768565003,0.11292397801166322,,,,,
COHORT,GSE236713,SIG023,T1,BASELINE_PERCENTILE,93,-0.047866805411030174,0.018523145648281846,-0.08348074921956293,-0.01167765059544456,,,,,
COHORT,GSE236713,SIG023,T1,RAW_SCORE,93,-0.15475501159575203,,,,,,,,
COHORT,GSE236713,SIG023,T4,BASELINE_SD,68,-0.23651353493682126,0.10485043036423078,-0.43140609445767,-0.02898554586944882,,,,,
COHORT,GSE236713,SIG023,T4,BASELINE_MAD,68,-0.3015750420506547,0.13305227881960072,-0.5500984362649485,-0.03212110581687188,,,,,
COHORT,GSE236713,SIG023,T4,HEALTHY_CONTROL_SD,68,-0.7366067349569472,0.33889862478965876,-1.3931450638988365,-0.05951367176178503,,,,,
COHORT,GSE236713,SIG023,T4,BASELINE_PERCENTILE,68,-0.14619377162629754,0.03371109780559536,-0.21474913494809686,-0.08088235294117647,,,,,
COHORT,GSE236713,SIG023,T4,RAW_SCORE,68,-0.6534816750139448,,,,,,,,
COHORT,GSE236713,SIG033,T1,BASELINE_SD,93,-0.14503159437044655,0.07690997443190672,-0.2914301691606821,0.00613583111157797,,,,,
COHORT,GSE236713,SIG033,T1,BASELINE_MAD,93,-0.15165292858964216,0.08367163179686148,-0.315473277590368,0.019283411159549898,,,,,
COHORT,GSE236713,SIG033,T1,HEALTHY_CONTROL_SD,93,-0.2657471641228138,0.14793523613332102,-0.5610322401204143,0.019982013147513168,,,,,
COHORT,GSE236713,SIG033,T1,BASELINE_PERCENTILE,93,-0.049601109954908074,0.023872357336731126,-0.09747080587351138,-0.0025436466643542666,,,,,
COHORT,GSE236713,SIG033,T1,RAW_SCORE,93,-0.21350869022613964,,,,,,,,
COHORT,GSE236713,SIG033,T4,BASELINE_SD,68,0.13373057845156536,0.11353879101302737,-0.08306167074338144,0.3589873557582298,,,,,
COHORT,GSE236713,SIG033,T4,BASELINE_MAD,68,0.1398359712737145,0.12206264575982405,-0.10803435788737147,0.3762212144109327,,,,,
COHORT,GSE236713,SIG033,T4,HEALTHY_CONTROL_SD,68,0.24503986275730227,0.21340477583622375,-0.16718798972592436,0.6643466404570045,,,,,
COHORT,GSE236713,SIG033,T4,BASELINE_PERCENTILE,68,0.020761245674740483,0.03378935550021314,-0.04693447231833912,0.08565095155709336,,,,,
COHORT,GSE236713,SIG033,T4,RAW_SCORE,68,0.19687186624624164,,,,,,,,
COHORT,GSE236713,SIG034,T1,BASELINE_SD,93,0.03887786106008941,0.08257279066834126,-0.11875028953150295,0.20068962710556446,,,,,
COHORT,GSE236713,SIG034,T1,BASELINE_MAD,93,0.03927672415758943,0.08539289275367731,-0.12706303996138218,0.21240650367929,,,,,
COHORT,GSE236713,SIG034,T1,HEALTHY_CONTROL_SD,93,0.1115384069347771,0.23522703508199455,-0.33544002238241316,0.5597250093130289,,,,,
COHORT,GSE236713,SIG034,T1,BASELINE_PERCENTILE,93,0.004624812117007746,0.025359643444979114,-0.04439819632327436,0.05423459359463516,,,,,
COHORT,GSE236713,SIG034,T1,RAW_SCORE,93,0.0037548781862978085,,,,,,,,
COHORT,GSE236713,SIG034,T4,BASELINE_SD,68,-0.11696781161712658,0.11143075011941105,-0.3298341723124816,0.09428954220820764,,,,,
COHORT,GSE236713,SIG034,T4,BASELINE_MAD,68,-0.11816782988915282,0.11103903818297668,-0.33395225018011215,0.09865006995994215,,,,,
COHORT,GSE236713,SIG034,T4,HEALTHY_CONTROL_SD,68,-0.33557410347902034,0.31898627874351126,-0.9363136788075556,0.2927609724540839,,,,,
COHORT,GSE236713,SIG034,T4,BASELINE_PERCENTILE,68,-0.07331314878892733,0.03438561262997275,-0.14013840830449828,-0.0025897491349481183,,,,,
COHORT,GSE236713,SIG034,T4,RAW_SCORE,68,-0.011296914808695751,,,,,,,,
COHORT,GSE54514,SIG001,T1,BASELINE_SD,31,-0.4195946212790328,0.22440583980929812,-0.8657524302788353,0.01071110842062493,,,,,
COHORT,GSE54514,SIG001,T1,BASELINE_MAD,31,-0.32047156557063283,0.16880535375891997,-0.651292924823551,0.013721541520053256,,,,,
COHORT,GSE54514,SIG001,T1,HEALTHY_CONTROL_SD,31,-0.3550282433046235,0.18545870098208425,-0.7221042104856737,0.007522535947734515,,,,,
COHORT,GSE54514,SIG001,T1,BASELINE_PERCENTILE,31,-0.14880332986472425,0.0656357577416874,-0.2767950052029136,-0.017663891779396614,,,,,
COHORT,GSE54514,SIG001,T1,RAW_SCORE,31,-0.31905911492031025,,,,,,,,
COHORT,GSE54514,SIG001,T2,BASELINE_SD,28,-0.9025502682172181,0.23296050862978465,-1.3699198392242316,-0.45644407831399975,,,,,
COHORT,GSE54514,SIG001,T2,BASELINE_MAD,28,-0.6893360467302534,0.18131789765339912,-1.037492553443005,-0.3411035639653611,,,,,
COHORT,GSE54514,SIG001,T2,HEALTHY_CONTROL_SD,28,-0.7636676448390107,0.1990473635470627,-1.1537098887350967,-0.3787207630081603,,,,,
COHORT,GSE54514,SIG001,T2,BASELINE_PERCENTILE,28,-0.26530612244897955,0.06449440089945724,-0.3928571428571428,-0.1403061224489796,,,,,
COHORT,GSE54514,SIG001,T2,RAW_SCORE,28,-0.6862978578483127,,,,,,,,
COHORT,GSE54514,SIG001,T3,BASELINE_SD,18,-0.41197170539814754,0.35239331672407637,-1.0766550243460742,0.3032918220850773,,,,,
COHORT,GSE54514,SIG001,T3,BASELINE_MAD,18,-0.314649451409317,0.2711242141895208,-0.8173207800857151,0.23201973671260456,,,,,
COHORT,GSE54514,SIG001,T3,HEALTHY_CONTROL_SD,18,-0.3485783264162707,0.3009602473940753,-0.8954103134959069,0.2732177591311457,,,,,
COHORT,GSE54514,SIG001,T3,BASELINE_PERCENTILE,18,-0.14506172839506173,0.09810698559021142,-0.33333333333333337,0.058641975308641986,,,,,
