signature_id,time_window,factor,level,cohort_n,patient_n,pooled_delta_z,ci95_lower,ci95_upper,tau2,I2_percent,analysis_status,interaction_p
SIG002,T2,platform_class,MICROARRAY,4,115.0,-0.5879288665569129,-1.1342910097584373,-0.04156672335538836,0.06965672383199487,61.70621456658056,FORMAL_SUBGROUP_META,
SIG002,T2,platform_class,RNASEQ,1,31.0,-0.6233480169703263,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG002,T2,platform,AFFYMETRIX,3,87.0,-0.7155334585703678,-1.1148964979271476,-0.31617041921358796,0.0,0.0,FORMAL_SUBGROUP_META,
SIG002,T2,platform,AGILENT,0,0.0,,,,,,NOT_AVAILABLE,
SIG002,T2,platform,ILLUMINA,1,28.0,-0.08069721459949353,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG002,T2,platform,RNASEQ,1,31.0,-0.6233480169703263,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG002,T2,age_group,ADULT,4,116.0,-0.6006939796379877,-1.1500747777761056,-0.05131318149986974,0.07064180924713563,61.63541241947639,FORMAL_SUBGROUP_META,
SIG002,T2,age_group,PEDIATRIC,1,30.0,-0.5781308155291767,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG002,T2,sample_group,WHOLE_BLOOD,5,146.0,-0.5981934849391153,-0.9546137342228637,-0.2417732356553669,0.03421603612852859,49.06564070595544,FORMAL_SUBGROUP_META,
SIG002,T2,sample_group,PBL,0,0.0,,,,,,NOT_AVAILABLE,
SIG002,T2,clinical_group,SEPTIC_SHOCK,4,118.0,-0.6885895701194436,-0.9056198950760734,-0.47155924516281367,0.0,0.0,FORMAL_SUBGROUP_META,
SIG002,T2,clinical_group,BROADER_SEPSIS,1,28.0,-0.08069721459949353,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG002,T2,case_grade,S1,0,0.0,,,,,,NOT_AVAILABLE,
SIG002,T2,case_grade,S2,5,146.0,-0.5981934849391153,-0.9546137342228637,-0.2417732356553669,0.03421603612852859,49.06564070595544,FORMAL_SUBGROUP_META,
SIG003,T1,platform_class,MICROARRAY,4,172.0,-0.20898123022987922,-0.380661718538472,-0.03730074192128641,0.0,0.0,FORMAL_SUBGROUP_META,
SIG003,T1,platform_class,RNASEQ,0,0.0,,,,,,NOT_AVAILABLE,
SIG003,T1,platform,AFFYMETRIX,2,48.0,-0.22335520684965895,-0.251008563333872,-0.19570185036544593,0.0,0.0,FORMAL_SUBGROUP_META,
SIG003,T1,platform,AGILENT,1,93.0,-0.1534641773804949,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG003,T1,platform,ILLUMINA,1,31.0,-0.4285675132032493,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG003,T1,platform,RNASEQ,0,0.0,,,,,,NOT_AVAILABLE,
SIG003,T1,age_group,ADULT,4,172.0,-0.20898123022987922,-0.380661718538472,-0.03730074192128641,0.0,0.0,FORMAL_SUBGROUP_META,
SIG003,T1,age_group,PEDIATRIC,0,0.0,,,,,,NOT_AVAILABLE,
SIG003,T1,sample_group,WHOLE_BLOOD,3,79.0,-0.29886167403332364,-0.5999954748074111,0.0022721267407638246,0.0,0.0,FORMAL_SUBGROUP_META,
SIG003,T1,sample_group,PBL,1,93.0,-0.1534641773804949,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG003,T1,clinical_group,SEPTIC_SHOCK,2,48.0,-0.22335520684965895,-0.251008563333872,-0.19570185036544593,0.0,0.0,FORMAL_SUBGROUP_META,
SIG003,T1,clinical_group,BROADER_SEPSIS,2,124.0,-0.2398798570853041,-1.8623767315615432,1.3826170173909351,0.015498267687977383,40.9563700763462,FORMAL_SUBGROUP_META,
SIG003,T1,clinical_group,INTERACTION_SEPTIC_SHOCK_VS_BROADER_SEPSIS,4,,0.016524650235645144,-0.23379051434106002,0.2668398148123503,,,FORMAL_INTERACTION,0.8970489483743973
SIG003,T1,case_grade,S1,0,0.0,,,,,,NOT_AVAILABLE,
SIG003,T1,case_grade,S2,4,172.0,-0.20898123022987922,-0.380661718538472,-0.03730074192128641,0.0,0.0,FORMAL_SUBGROUP_META,
SIG003,T2,platform_class,MICROARRAY,4,115.0,-0.8340271723599721,-1.5548797186520815,-0.11317462606786266,0.13858946855490042,66.77465747346332,FORMAL_SUBGROUP_META,
SIG003,T2,platform_class,RNASEQ,1,31.0,-0.7868559868794359,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG003,T2,platform,AFFYMETRIX,3,87.0,-1.0253146581116914,-1.6066884103636028,-0.4439409058597802,0.0,0.0,FORMAL_SUBGROUP_META,
SIG003,T2,platform,AGILENT,0,0.0,,,,,,NOT_AVAILABLE,
SIG003,T2,platform,ILLUMINA,1,28.0,-0.2660416779614452,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG003,T2,platform,RNASEQ,1,31.0,-0.7868559868794359,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG003,T2,age_group,ADULT,4,116.0,-0.7643732612817171,-1.3495354920015825,-0.17921103056185184,0.0802436863379376,62.30143325825572,FORMAL_SUBGROUP_META,
SIG003,T2,age_group,PEDIATRIC,1,30.0,-1.2358170531118964,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG003,T2,sample_group,WHOLE_BLOOD,5,146.0,-0.8102552483310567,-1.2720881125947856,-0.34842238406732773,0.07451779022861488,55.703161158565706,FORMAL_SUBGROUP_META,
SIG003,T2,sample_group,PBL,0,0.0,,,,,,NOT_AVAILABLE,
SIG003,T2,clinical_group,SEPTIC_SHOCK,4,118.0,-0.8986462115572165,-1.2237089928778342,-0.5735834302365987,0.0007519851137141779,0.0,FORMAL_SUBGROUP_META,
SIG003,T2,clinical_group,BROADER_SEPSIS,1,28.0,-0.2660416779614452,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG003,T2,case_grade,S1,0,0.0,,,,,,NOT_AVAILABLE,
SIG003,T2,case_grade,S2,5,146.0,-0.8102552483310567,-1.2720881125947856,-0.34842238406732773,0.07451779022861488,55.703161158565706,FORMAL_SUBGROUP_META,
SIG004,T1,platform_class,MICROARRAY,4,172.0,0.08081603717132216,-0.14936852344181467,0.311000597784459,0.0,13.780497545682838,FORMAL_SUBGROUP_META,
SIG004,T1,platform_class,RNASEQ,0,0.0,,,,,,NOT_AVAILABLE,
SIG004,T1,platform,AFFYMETRIX,2,48.0,-0.11162681294252227,-1.405851193099965,1.1825975672149207,0.0,0.0,FORMAL_SUBGROUP_META,
SIG004,T1,platform,AGILENT,1,93.0,0.1206989910054785,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG004,T1,platform,ILLUMINA,1,31.0,0.2647687367363289,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG004,T1,platform,RNASEQ,0,0.0,,,,,,NOT_AVAILABLE,
SIG004,T1,age_group,ADULT,4,172.0,0.08081603717132216,-0.14936852344181467,0.311000597784459,0.0,13.780497545682838,FORMAL_SUBGROUP_META,
SIG004,T1,age_group,PEDIATRIC,0,0.0,,,,,,NOT_AVAILABLE,
SIG004,T1,sample_group,WHOLE_BLOOD,3,79.0,0.001826759117968446,-0.5988345629458077,0.6024880811817447,0.012283676002040717,28.307081904417906,FORMAL_SUBGROUP_META,
SIG004,T1,sample_group,PBL,1,93.0,0.1206989910054785,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG004,T1,clinical_group,SEPTIC_SHOCK,2,48.0,-0.11162681294252227,-1.405851193099965,1.1825975672149207,0.0,0.0,FORMAL_SUBGROUP_META,
SIG004,T1,clinical_group,BROADER_SEPSIS,2,124.0,0.1400777590190865,-0.4845142820905419,0.7646698001287149,0.0,0.0,FORMAL_SUBGROUP_META,
SIG004,T1,clinical_group,INTERACTION_SEPTIC_SHOCK_VS_BROADER_SEPSIS,4,,-0.2517045719616088,-0.4733782498090416,-0.030030894114175977,,,FORMAL_INTERACTION,0.0260458183982212
SIG004,T1,case_grade,S1,0,0.0,,,,,,NOT_AVAILABLE,
SIG004,T1,case_grade,S2,4,172.0,0.08081603717132216,-0.14936852344181467,0.311000597784459,0.0,13.780497545682838,FORMAL_SUBGROUP_META,
SIG004,T2,platform_class,MICROARRAY,4,115.0,0.4926036296597003,0.2851461947953903,0.7000610645240103,0.0,0.0,FORMAL_SUBGROUP_META,
SIG004,T2,platform_class,RNASEQ,1,31.0,0.9322148605921703,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG004,T2,platform,AFFYMETRIX,3,87.0,0.5442225642719501,0.2963867270861594,0.792058401457741,0.0,0.0,FORMAL_SUBGROUP_META,
SIG004,T2,platform,AGILENT,0,0.0,,,,,,NOT_AVAILABLE,
SIG004,T2,platform,ILLUMINA,1,28.0,0.34145689973471854,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG004,T2,platform,RNASEQ,1,31.0,0.9322148605921703,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG004,T2,age_group,ADULT,4,116.0,0.6408358067840279,0.21006537863417069,1.071606234933885,0.0436070850926662,53.17112490053552,FORMAL_SUBGROUP_META,
SIG004,T2,age_group,PEDIATRIC,1,30.0,0.5171729426030627,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG004,T2,sample_group,WHOLE_BLOOD,5,146.0,0.6287187317011099,0.3191533888779536,0.9382840745242662,0.033895440328251696,41.326182769534604,FORMAL_SUBGROUP_META,
SIG004,T2,sample_group,PBL,0,0.0,,,,,,NOT_AVAILABLE,
SIG004,T2,clinical_group,SEPTIC_SHOCK,4,118.0,0.6972451968898257,0.33211783001508327,1.062372563764568,0.02560204007661412,31.161914648730605,FORMAL_SUBGROUP_META,
SIG004,T2,clinical_group,BROADER_SEPSIS,1,28.0,0.34145689973471854,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG004,T2,case_grade,S1,0,0.0,,,,,,NOT_AVAILABLE,
SIG004,T2,case_grade,S2,5,146.0,0.6287187317011099,0.3191533888779536,0.9382840745242662,0.033895440328251696,41.326182769534604,FORMAL_SUBGROUP_META,
SIG022,T1,platform_class,MICROARRAY,4,172.0,-0.05683979883162078,-0.31535049508661994,0.2016708974233784,0.010086705835168425,49.54582755141195,FORMAL_SUBGROUP_META,
SIG022,T1,platform_class,RNASEQ,0,0.0,,,,,,NOT_AVAILABLE,
SIG022,T1,platform,AFFYMETRIX,2,48.0,-0.17517514810006346,-1.3409570777702218,0.990606781570095,0.0035326426631561965,20.356741815516884,FORMAL_SUBGROUP_META,
SIG022,T1,platform,AGILENT,1,93.0,0.007560734455936181,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG022,T1,platform,ILLUMINA,1,31.0,0.16584064246499516,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG022,T1,platform,RNASEQ,0,0.0,,,,,,NOT_AVAILABLE,
SIG022,T1,age_group,ADULT,4,172.0,-0.05683979883162078,-0.31535049508661994,0.2016708974233784,0.010086705835168425,49.54582755141195,FORMAL_SUBGROUP_META,
SIG022,T1,age_group,PEDIATRIC,0,0.0,,,,,,NOT_AVAILABLE,
SIG022,T1,sample_group,WHOLE_BLOOD,3,79.0,-0.09115187635852433,-0.6192537361031798,0.43694998338613117,0.023239816210479533,56.0495363700899,FORMAL_SUBGROUP_META,
SIG022,T1,sample_group,PBL,1,93.0,0.007560734455936181,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG022,T1,clinical_group,SEPTIC_SHOCK,2,48.0,-0.17517514810006346,-1.3409570777702218,0.990606781570095,0.0035326426631561965,20.356741815516884,FORMAL_SUBGROUP_META,
SIG022,T1,clinical_group,BROADER_SEPSIS,2,124.0,0.02752838058495507,-0.6402150536314396,0.6952718148013498,0.0,0.0,FORMAL_SUBGROUP_META,
