signature_id,time_window,analysis_set,omitted_dataset,cohort_n,pooled_delta_z,ci95_lower,ci95_upper,tau2,I2_percent
SIG001,T1,ALL_COHORTS,GSE236713,3,-0.40230803108067675,-0.5303941641876978,-0.2742218979736557,0.0,0.0
SIG001,T1,ALL_COHORTS,GSE54514,3,-0.37568761409102425,-0.4606274922536053,-0.2907477359284432,0.0,0.0
SIG001,T1,ALL_COHORTS,GSE57065,3,-0.3683308638605717,-0.41857996210467774,-0.3180817656164656,0.0,0.0
SIG001,T1,ALL_COHORTS,GSE95233,3,-0.3827935005437677,-0.4686880392451528,-0.2968989618423826,0.0,0.0
SIG001,T1,PRIMARY_INDEPENDENT,GSE236713,3,-0.40230803108067675,-0.5303941641876978,-0.2742218979736557,0.0,0.0
SIG001,T1,PRIMARY_INDEPENDENT,GSE54514,3,-0.37568761409102425,-0.4606274922536053,-0.2907477359284432,0.0,0.0
SIG001,T1,PRIMARY_INDEPENDENT,GSE57065,3,-0.3683308638605717,-0.41857996210467774,-0.3180817656164656,0.0,0.0
SIG001,T1,PRIMARY_INDEPENDENT,GSE95233,3,-0.3827935005437677,-0.4686880392451528,-0.2968989618423826,0.0,0.0
SIG001,T2,ALL_COHORTS,GSE110487,4,-0.723804913191355,-1.278270065389055,-0.1693397609936549,0.09677528885774096,78.40932761734952
SIG001,T2,ALL_COHORTS,GSE54514,4,-0.8457046979311996,-1.5636961245563765,-0.12771327130602272,0.184398899464226,90.51793241249833
SIG001,T2,ALL_COHORTS,GSE57065,4,-0.8875870143434056,-1.603961519732604,-0.17121250895420703,0.18440000254707214,90.41231903156624
SIG001,T2,ALL_COHORTS,GSE8121,4,-1.0257103777272443,-1.44060979891818,-0.6108109565363085,0.043542870043589046,59.52866186835934
SIG001,T2,ALL_COHORTS,GSE95233,4,-0.8037874735669402,-1.4992023404085957,-0.10837260672528481,0.17291734273043574,89.96099617342298
SIG001,T2,PRESPECIFIED_NON_PILOT_ONLY,GSE110487,2,-0.6660655112391857,-5.639995679569534,4.307864657091162,0.2805645154182121,91.47605783307353
SIG001,T2,PRESPECIFIED_NON_PILOT_ONLY,GSE8121,2,-1.224010096120795,-2.7004487598375917,0.2524285675960021,0.003142936537497264,10.700780696230755
SIG001,T2,PRESPECIFIED_NON_PILOT_ONLY,GSE95233,2,-0.797920915942407,-7.313515506092537,5.717673674207724,0.5080983207786832,96.61428323650742
SIG001,T2,PRIMARY_INDEPENDENT,GSE110487,4,-0.723804913191355,-1.278270065389055,-0.1693397609936549,0.09677528885774096,78.40932761734952
SIG001,T2,PRIMARY_INDEPENDENT,GSE54514,4,-0.8457046979311996,-1.5636961245563765,-0.12771327130602272,0.184398899464226,90.51793241249833
SIG001,T2,PRIMARY_INDEPENDENT,GSE57065,4,-0.8875870143434056,-1.603961519732604,-0.17121250895420703,0.18440000254707214,90.41231903156624
SIG001,T2,PRIMARY_INDEPENDENT,GSE8121,4,-1.0257103777272443,-1.44060979891818,-0.6108109565363085,0.043542870043589046,59.52866186835934
SIG001,T2,PRIMARY_INDEPENDENT,GSE95233,4,-0.8037874735669402,-1.4992023404085957,-0.10837260672528481,0.17291734273043574,89.96099617342298
