dataset,signature_id,time_window,model,status,warning_count,warning_text
GSE8121,SIG033,T2,MixedLM,CONVERGED,2,Random effects covariance is singular | The MLE may be on the boundary of the parameter space.
GSE8121,SIG034,T2,MixedLM,CONVERGED,0,
GSE95233,SIG001,T1,MixedLM,CONVERGED,0,
GSE95233,SIG001,T2,MixedLM,CONVERGED,0,
GSE95233,SIG002,T1,MixedLM,CONVERGED,1,Random effects covariance is singular
GSE95233,SIG002,T2,MixedLM,CONVERGED,1,Random effects covariance is singular
GSE95233,SIG003,T1,MixedLM,CONVERGED,0,
GSE95233,SIG003,T2,MixedLM,CONVERGED,1,Random effects covariance is singular
GSE95233,SIG004,T1,MixedLM,CONVERGED,1,Random effects covariance is singular
GSE95233,SIG004,T2,MixedLM,CONVERGED,1,Random effects covariance is singular
GSE95233,SIG022,T1,MixedLM,CONVERGED,0,
GSE95233,SIG022,T2,MixedLM,CONVERGED,0,
GSE95233,SIG023,T1,MixedLM,CONVERGED,0,
GSE95233,SIG023,T2,MixedLM,CONVERGED,0,
GSE95233,SIG033,T1,MixedLM,CONVERGED,0,
GSE95233,SIG033,T2,MixedLM,CONVERGED,1,Random effects covariance is singular
GSE95233,SIG034,T1,MixedLM,CONVERGED,0,
GSE95233,SIG034,T2,MixedLM,CONVERGED,0,
