dataset,signature_a,signature_b,time_window,paired_n,mean_absolute_drift_difference_a_minus_b,bootstrap_se,ci95_lower,ci95_upper,primary_independent_eligible,p_value,tau2,I2_percent,holm_adjusted_p
GSE57065,SIG001,SIG004,T2,26,-0.028668288845731034,0.1336451457445009,-0.2939946022371459,0.2197149829686073,YES,,,,
GSE95233,SIG001,SIG004,T2,31,-0.0369435759447393,0.16968759018609564,-0.36377863089529794,0.30607784141886185,YES,,,,
GSE54514,SIG001,SIG004,T2,28,0.16338545848458846,0.1125916074932683,-0.05788072199868141,0.3854888453499039,NO,,,,
GSE110487,SIG001,SIG004,T2,31,0.30816955858598133,0.14058802939770548,0.03390885639654301,0.5786092010849411,YES,,,,
GSE8121,SIG001,SIG004,T2,30,-0.37016902786792,0.26331947344882656,-0.9292571394499326,0.0848694651090714,YES,,,,
POOLED_PRIMARY_INDEPENDENT,SIG001,SIG004,T2,118,0.017356778729391596,0.12746672143376833,-0.38829921794420275,0.423012775402986,YES,0.900312981911261,0.03141339266338477,54.03155723027393,1.0
GSE57065,SIG002,SIG003,T2,26,-0.0912293339654229,0.1519376534453053,-0.3931829606566384,0.19924213294779927,YES,,,,
GSE95233,SIG002,SIG003,T2,31,-0.3356041315787157,0.1820397252286866,-0.6961130232576248,0.0017079964565094349,YES,,,,
GSE54514,SIG002,SIG003,T2,28,-0.05067028801861441,0.12905248254832277,-0.29930387384768786,0.2051082364035543,NO,,,,
GSE110487,SIG002,SIG003,T2,31,-0.023650086015054535,0.11746270418058788,-0.24075939604722196,0.21683752117951122,YES,,,,
GSE8121,SIG002,SIG003,T2,30,-0.7758998042832409,0.3981366226973447,-1.6292069971035772,-0.10388910480294337,YES,,,,
POOLED_PRIMARY_INDEPENDENT,SIG002,SIG003,T2,118,-0.1557171604511972,0.11150124557091731,-0.5105638874529563,0.19912956655056185,YES,0.25693669125017055,0.008168819510631491,37.33233538259469,1.0
GSE57065,SIG002,SIG004,T2,26,0.11880933286531509,0.1580845949633552,-0.19010787894162742,0.4301438485238664,YES,,,,
GSE95233,SIG002,SIG004,T2,31,-0.04812180441919637,0.13728427870374119,-0.3201017019931206,0.2172857487700356,YES,,,,
GSE54514,SIG002,SIG004,T2,28,-0.13134363457252426,0.15402326496863053,-0.4483674425596422,0.16051138823696523,NO,,,,
GSE110487,SIG002,SIG004,T2,31,-0.061685771983696895,0.11211098003440602,-0.2750530700538426,0.17133317302950102,YES,,,,
GSE8121,SIG002,SIG004,T2,30,-0.14464591613698435,0.2621612295091624,-0.6825287748142013,0.34493495247287914,YES,,,,
POOLED_PRIMARY_INDEPENDENT,SIG002,SIG004,T2,118,-0.025704869942732866,0.04566849428813885,-0.1710424008579158,0.11963266097245008,YES,0.6128537814910227,0.0,0.0,1.0
GSE57065,SIG003,SIG004,T2,26,0.210038666830738,0.1635742572135908,-0.11230729830515752,0.5319433703418711,YES,,,,
GSE95233,SIG003,SIG004,T2,31,0.2874823271595193,0.19865080232966917,-0.09101641027488891,0.6862115872872636,YES,,,,
GSE54514,SIG003,SIG004,T2,28,-0.08067334655390986,0.11507072463326713,-0.30274817887096767,0.1426490299855136,NO,,,,
GSE110487,SIG003,SIG004,T2,31,-0.03803568596864239,0.09270165228765138,-0.2258481385325936,0.14161174071016766,YES,,,,
GSE8121,SIG003,SIG004,T2,30,0.6312538881462564,0.2433010788726271,0.19919051626950549,1.1347409236613168,YES,,,,
POOLED_PRIMARY_INDEPENDENT,SIG003,SIG004,T2,118,0.21532753869693455,0.1341483810078551,-0.21159248080137943,0.6422475581952485,YES,0.20680701720664144,0.04393377244344388,63.90834375195199,1.0
