signature_id,time_window,analysis_set,cohort_n,patient_n,pooled_delta_z,pooled_se,ci95_lower,ci95_upper,tau2,I2_percent,prediction_lower,prediction_upper,direction_consistency,p_value,cohorts,holm_adjusted_p,stability_class,mean_patient_absolute_delta_z
SIG001,T1,PRIMARY_INDEPENDENT,4,172,-0.3785770092566108,0.01679940455642919,-0.4320402122181945,-0.3251138062950271,0.0,0.0,-0.45085901312860066,-0.30629500538462096,1.0,0.00019134607333345666,GSE236713;GSE54514;GSE57065;GSE95233,0.0015307685866676533,CONSISTENT_DRIFT,0.3856968264031406
SIG001,T2,PRIMARY_INDEPENDENT,5,146,-0.8550776766665187,0.17853358664446164,-1.3507663794189413,-0.3593889739140961,0.14033502808704526,87.39226194985913,-2.1757325775205043,0.4655772241874667,1.0,0.008715065688001315,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,0.043575328440006576,HIGHLY_HETEROGENEOUS,0.8665611243344353
SIG001,T3,PRIMARY_INDEPENDENT,1,18,-0.41197170539814754,,,,,,,,1.0,,GSE54514,,EVIDENCE_INSUFFICIENT,0.41197170539814754
SIG001,T4,PRIMARY_INDEPENDENT,2,82,-0.811846502677311,0.019738239832168616,-1.0626446191216445,-0.5610483862329774,0.0,0.0,,,1.0,0.015474943437038584,GSE236713;GSE54514,,EVIDENCE_INSUFFICIENT,0.8202355712850085
SIG002,T1,PRIMARY_INDEPENDENT,3,141,-0.07087568570629159,0.025652096747838728,-0.18124774980080943,0.03949637838822624,0.0,0.0,-0.3968164789030944,0.2550651074905112,1.0,0.10983111590360374,GSE236713;GSE57065;GSE95233,0.21966223180720748,RELATIVE_STABILITY,0.10242200634879475
SIG002,T2,PRIMARY_INDEPENDENT,4,118,-0.6885895701194436,0.06819606809901675,-0.9056198950760734,-0.47155924516281367,0.0,0.0,-0.9820135686802219,-0.39516557155866516,1.0,0.002068907909360363,GSE110487;GSE57065;GSE8121;GSE95233,0.014482355365522542,CONSISTENT_DRIFT,0.5928677508826637
SIG002,T4,PRIMARY_INDEPENDENT,1,68,-0.1370508057004767,,,,,,,,1.0,,GSE236713,,EVIDENCE_INSUFFICIENT,0.1600199165205334
SIG003,T1,PRIMARY_INDEPENDENT,3,141,-0.17308860011740615,0.022223670969938977,-0.268709338680083,-0.0774678615547293,0.0,0.0,-0.4554671134565532,0.10928991322174095,1.0,0.016088459697438672,GSE236713;GSE57065;GSE95233,0.04826537909231601,RELATIVE_STABILITY,0.22244694028563114
SIG003,T2,PRIMARY_INDEPENDENT,4,118,-0.8986462115572165,0.1021424244553224,-1.2237089928778342,-0.5735834302365987,0.0007519851137141779,0.0,-1.3536923718150016,-0.4436000512994315,1.0,0.003093744323549288,GSE110487;GSE57065;GSE8121;GSE95233,0.01856246594129573,CONSISTENT_DRIFT,0.8743922662281488
SIG003,T4,PRIMARY_INDEPENDENT,1,68,-0.60193957286053,,,,,,,,1.0,,GSE236713,,EVIDENCE_INSUFFICIENT,0.5424568144865297
SIG004,T1,PRIMARY_INDEPENDENT,3,141,0.026963430801954576,0.09401628001842241,-0.37755597305518745,0.4314828346590966,0.00869776584721682,23.650880253571568,-1.65567713444897,1.7096039960528793,0.3333333333333333,0.8012507544975208,GSE236713;GSE57065;GSE95233,0.8012507544975208,HIGHLY_HETEROGENEOUS,0.14748950806603797
SIG004,T2,PRIMARY_INDEPENDENT,4,118,0.6972451968898257,0.1147316660986456,0.33211783001508327,1.062372563764568,0.02560204007661412,31.161914648730605,-0.14990107439604217,1.5443914681756934,1.0,0.00894481463318799,GSE110487;GSE57065;GSE8121;GSE95233,0.043575328440006576,CONSISTENT_DRIFT,0.5933816006506696
SIG004,T4,PRIMARY_INDEPENDENT,1,68,0.3621844920318702,,,,,,,,1.0,,GSE236713,,EVIDENCE_INSUFFICIENT,0.39956721920325455
SIG022,T1,PRIMARY_INDEPENDENT,4,172,-0.05683979883162078,0.08123018315368197,-0.31535049508661994,0.2016708974233784,0.010086705835168425,49.54582755141195,-0.612616109897399,0.4989365122341574,0.5,0.5344696403659274,GSE236713;GSE54514;GSE57065;GSE95233,,COHORT_DEPENDENT_DRIFT,0.08302229240316579
SIG022,T2,PRIMARY_INDEPENDENT,5,146,0.13902105677245458,0.11876290294026934,-0.1907176237751375,0.46875973732004667,0.058762190129765884,82.2218807936682,-0.7200438635112723,0.9980859770561814,0.8,0.30674933687269607,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,,HIGHLY_HETEROGENEOUS,0.1817413907860614
SIG022,T3,PRIMARY_INDEPENDENT,1,18,0.1531292505241713,,,,,,,,1.0,,GSE54514,,EVIDENCE_INSUFFICIENT,0.1531292505241713
SIG022,T4,PRIMARY_INDEPENDENT,2,82,0.2148678105582313,0.02288712659460023,-0.07594070578139916,0.5056763268978617,0.0,0.0,,,1.0,0.06755625485666183,GSE236713;GSE54514,,EVIDENCE_INSUFFICIENT,0.2165606179087943
SIG023,T1,PRIMARY_INDEPENDENT,4,172,0.046809026563166246,0.1791886511659646,-0.5234492342888285,0.6170672874151609,0.10263272310330822,85.57300724556744,-1.5325710495848452,1.6261891027111777,0.5,0.8108238812699943,GSE236713;GSE54514;GSE57065;GSE95233,,HIGHLY_HETEROGENEOUS,0.20291824079029855
SIG023,T2,PRIMARY_INDEPENDENT,5,146,-0.052610527090989775,0.07970630324856988,-0.273910702598893,0.16868964841691347,0.015181132669466297,44.117593692496605,-0.5196200460702431,0.41439899188826357,0.6,0.545289769651606,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,,RELATIVE_STABILITY,0.15001177343099503
SIG023,T3,PRIMARY_INDEPENDENT,1,18,-0.6630697001033902,,,,,,,,1.0,,GSE54514,,EVIDENCE_INSUFFICIENT,0.6630697001033902
